field,value
mode,random-train
webcam.frames,4120
webcam.detected_frames,3998
webcam.detection_events,4
webcam.measured_fps,30.070790850042364
op598.pulse_events,60
coincidence.detected_windows,60
coincidence.matched_detected,60
coincidence.mean_offset_ms,-0.7578042394015938
coincidence.abs_mean_offset_ms,7.6410163708108785
visuals.representative_frames,60
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2637.5714285714284
op598.command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
op598.fall_time_ms,
op598.metadata.count,60
op598.metadata.duration_ms,40
op598.metadata.duty,0
op598.metadata.host_capture_finished_perf_counter_s,169550.077060027
op598.metadata.host_capture_finished_wall_time_s,1779824057.093694925
op598.metadata.host_command_sent_perf_counter_s,169433.107072490
op598.metadata.host_command_sent_wall_time_s,1779823940.123708487
op598.metadata.max_period_ms,2200
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,17347
op598.peak_adc,2745.0
op598.peak_time_ms,0.119
op598.pulse_count,60
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,17347
op598.sample_interval_avg_ms,6.740915023636574
op598.sample_interval_max_ms,15.987999999997555
op598.sample_interval_min_ms,3.6679999999999993
op598.threshold_adc,2691.285714285714
op598.threshold_crossing_ms,
