field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,175523.925248450
metadata.host_capture_finished_wall_time_s,1779830030.941886187
metadata.host_command_sent_perf_counter_s,175404.243264796
metadata.host_command_sent_wall_time_s,1779829911.259899616
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17878
baseline_adc,636.5714285714286
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.291
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17878
sample_interval_avg_ms,6.691735749846171
sample_interval_max_ms,16.48399999999674
sample_interval_min_ms,3.6750000000000007
threshold_adc,2365.785714285714
threshold_crossing_ms,
