field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,174658.018054099
metadata.host_capture_finished_wall_time_s,1779829165.034687996
metadata.host_command_sent_perf_counter_s,174540.191772318
metadata.host_command_sent_wall_time_s,1779829047.208414316
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17614
baseline_adc,720.8571428571429
fall_time_ms,
peak_adc,4095.0
peak_time_ms,46.475
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17614
sample_interval_avg_ms,6.686898597626753
sample_interval_max_ms,16.00899999999092
sample_interval_min_ms,3.6390000000001237
threshold_adc,2407.9285714285716
threshold_crossing_ms,
