field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,175666.347837974
metadata.host_capture_finished_wall_time_s,1779830173.364473820
metadata.host_command_sent_perf_counter_s,175547.911506970
metadata.host_command_sent_wall_time_s,1779830054.928144932
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17700
baseline_adc,593.5714285714286
fall_time_ms,
peak_adc,4095.0
peak_time_ms,52.058
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17700
sample_interval_avg_ms,6.6889730493248205
sample_interval_max_ms,16.446000000010827
sample_interval_min_ms,3.651
threshold_adc,2344.285714285714
threshold_crossing_ms,
