field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,170224.440166918
metadata.host_capture_finished_wall_time_s,1779824731.456800222
metadata.host_command_sent_perf_counter_s,170106.187138281
metadata.host_command_sent_wall_time_s,1779824613.203772783
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17534
baseline_adc,2651.5714285714284
fall_time_ms,
peak_adc,4095.0
peak_time_ms,46.726
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17534
sample_interval_avg_ms,6.741949181543376
sample_interval_max_ms,16.157999999999447
sample_interval_min_ms,3.6350000000002183
threshold_adc,3373.285714285714
threshold_crossing_ms,
