pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,40.993,77.315,36.321999999999996,47.321,80.982,3578,2862.034810126582,2634.050856776322,3106.025428388161,316,True
1,2101.197,2137.311,36.11400000000003,2105.139,2105.139,3813,2892.6164383561645,2634.050856776322,3223.525428388161,292,True
2,4037.315,4064.661,27.346000000000004,4041.132,4041.132,3935,2886.7345454545452,2634.050856776322,3284.525428388161,275,True
3,5867.319,5894.701,27.381999999999607,5871.169,5871.169,3781,2882.4398734177216,2634.050856776322,3207.525428388161,316,True
4,7961.021,7997.311,36.289999999999964,7967.303,7967.303,3527,2881.808510638298,2634.050856776322,3080.525428388161,282,True
5,9837.32,9864.718,27.398000000001048,9837.32,9857.312,3539,2885.425531914894,2634.050856776322,3086.525428388161,282,True
6,11707.324,11734.816,27.49200000000019,11707.324,11727.312,3555,2883.4579124579122,2634.050856776322,3094.525428388161,297,True
7,13675.135,13711.189,36.05400000000009,13687.32,13691.193,3482,2882.95818815331,2634.050856776322,3058.025428388161,287,True
8,15587.319,15617.315,29.996000000001004,15591.196,15611.016,3540,2889.755700325733,2634.050856776322,3087.025428388161,307,True
9,17627.315,17655.02,27.705000000001746,17631.312,17655.02,3654,2922.202205882353,2634.050856776322,3144.025428388161,272,True
10,19431.25,19467.32,36.06999999999971,19435.25,19455.038,3557,2909.136029411765,2634.050856776322,3095.525428388161,272,True
11,21247.315,21275.069,27.754000000000815,21251.327,21275.069,3510,2872.9617834394903,2634.050856776322,3072.025428388161,314,True
12,23341.206,23377.316,36.11000000000058,23347.32,23361.123,3723,2877.767272727273,2634.050856776322,3178.525428388161,275,True
13,25177.323,25211.173,33.849999999998545,25187.317,25211.173,3675,2906.3503401360545,2634.050856776322,3154.525428388161,294,True
14,27151.307,27187.312,36.00500000000102,27155.401,27178.199,3737,2906.764505119454,2634.050856776322,3185.525428388161,293,True
