field,value
mode,random-train
webcam.frames,904
webcam.detected_frames,36
webcam.detection_events,34
webcam.measured_fps,30.07178725364144
op598.pulse_events,120
coincidence.detected_windows,5
coincidence.matched_detected,5
coincidence.mean_offset_ms,-90422.95497177383
coincidence.abs_mean_offset_ms,90423.81985572386
visuals.representative_frames,120
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2868.1428571428573
op598.command,sensor random_train_profile 120 1800 2100 40 32 40 120 1000
op598.fall_time_ms,
op598.metadata.count,120
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,11535.445651238
op598.metadata.host_capture_finished_wall_time_s,1779485379.191328764
op598.metadata.host_command_sent_perf_counter_s,11302.520096055
op598.metadata.host_command_sent_wall_time_s,1779485146.265776873
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,33417
op598.peak_adc,3945.0
op598.peak_time_ms,88067.312
op598.pulse_count,120
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,33417
op598.sample_interval_avg_ms,6.968733570744553
op598.sample_interval_max_ms,16.197000000000116
op598.sample_interval_min_ms,3.6389999999999993
op598.threshold_adc,3406.5714285714284
op598.threshold_crossing_ms,
