index,t_us,t_ms,adc,led,phase,pulse_index
0,106,0.106,2587,0,pre,-1
1,3975,3.975,2493,0,pre,-1
2,18214,18.214,2463,0,pre,-1
3,21862,21.862,2465,0,pre,-1
4,25518,25.518,2446,0,pre,-1
5,29171,29.171,2430,0,pre,-1
6,38219,38.219,2416,0,pre,-1
7,41889,41.889,2427,1,pulse,0
8,48227,48.227,4095,1,pulse,0
9,58207,58.207,4095,1,pulse,0
10,61886,61.886,4095,1,pulse,0
11,68205,68.205,4095,1,pulse,0
12,78213,78.213,4095,1,pulse,0
13,81892,81.892,4095,0,gap,0
14,85788,85.788,2945,0,gap,0
15,98210,98.21,2721,0,gap,0
16,101971,101.971,2699,0,gap,0
17,105708,105.708,2677,0,gap,0
18,118205,118.205,2640,0,gap,0
19,121957,121.957,2621,0,gap,0
20,125716,125.716,2602,0,gap,0
21,129475,129.475,2601,0,gap,0
22,138219,138.219,2559,0,gap,0
23,141987,141.987,2555,0,gap,0
24,148219,148.219,2531,0,gap,0
25,158211,158.211,2521,0,gap,0
26,162001,162.001,2514,0,gap,0
27,168210,168.21,2495,0,gap,0
28,178218,178.218,2478,0,gap,0
29,182006,182.006,2466,0,gap,0
30,185801,185.801,2455,0,gap,0
31,198211,198.211,2455,0,gap,0
32,202026,202.026,2432,0,gap,0
33,208577,208.577,2407,0,gap,0
34,212300,212.3,2397,0,gap,0
35,218209,218.209,2371,0,gap,0
36,228217,228.217,2381,0,gap,0
37,231906,231.906,2363,0,gap,0
38,235604,235.604,2342,0,gap,0
39,248210,248.21,2326,0,gap,0
40,251927,251.927,2319,0,gap,0
41,255627,255.627,2311,0,gap,0
42,268221,268.221,2288,0,gap,0
43,271931,271.931,2292,0,gap,0
44,275658,275.658,2262,0,gap,0
45,279379,279.379,2246,0,gap,0
46,288219,288.219,2235,0,gap,0
47,291949,291.949,2231,0,gap,0
48,298219,298.219,2221,0,gap,0
49,308211,308.211,2210,0,gap,0
50,311967,311.967,2187,0,gap,0
51,318210,318.21,2178,0,gap,0
52,328218,328.218,2177,0,gap,0
53,331972,331.972,2153,0,gap,0
54,335738,335.738,2141,0,gap,0
55,348211,348.211,2128,0,gap,0
56,351991,351.991,2125,0,gap,0
57,355748,355.748,2105,0,gap,0
58,368221,368.221,2096,0,gap,0
59,371989,371.989,2082,0,gap,0
60,375771,375.771,2079,0,gap,0
61,379549,379.549,2047,0,gap,0
62,388219,388.219,2038,0,gap,0
63,392037,392.037,2027,0,gap,0
64,398219,398.219,2006,0,gap,0
65,408211,408.211,1999,0,gap,0
66,412059,412.059,1979,0,gap,0
67,418210,418.21,1986,0,gap,0
68,428218,428.218,1963,0,gap,0
69,432064,432.064,1947,0,gap,0
70,435928,435.928,1941,0,gap,0
71,448210,448.21,1954,0,gap,0
72,452098,452.098,1933,0,gap,0
73,455957,455.957,1922,0,gap,0
74,468221,468.221,1904,0,gap,0
75,472095,472.095,1903,0,gap,0
76,475987,475.987,1885,0,gap,0
77,479864,479.864,1872,0,gap,0
78,488219,488.219,1871,0,gap,0
79,492109,492.109,1847,0,gap,0
80,498219,498.219,1838,0,gap,0
81,508211,508.211,1839,0,gap,0
82,512131,512.131,1809,0,gap,0
83,518210,518.21,1808,0,gap,0
84,528218,528.218,1808,0,gap,0
85,532128,532.128,1785,0,gap,0
86,536049,536.049,1777,0,gap,0
87,548210,548.21,1771,0,gap,0
88,552150,552.15,1759,0,gap,0
89,556065,556.065,1747,0,gap,0
90,568221,568.221,1747,0,gap,0
91,572147,572.147,1735,0,gap,0
92,576091,576.091,1723,0,gap,0
93,580022,580.022,1710,0,gap,0
94,588218,588.218,1693,0,gap,0
95,592162,592.162,1686,0,gap,0
96,598897,598.897,1673,0,gap,0
97,608210,608.21,1667,0,gap,0
98,611910,611.91,1661,0,gap,0
99,618210,618.21,1647,0,gap,0
100,628218,628.218,1631,0,gap,0
101,631918,631.918,1633,0,gap,0
102,638201,638.201,1622,0,gap,0
103,648197,648.197,1616,0,gap,0
104,651925,651.925,1616,0,gap,0
105,655625,655.625,1601,0,gap,0
106,668222,668.222,1590,0,gap,0
107,671944,671.944,1594,0,gap,0
108,675678,675.678,1571,0,gap,0
109,688209,688.209,1571,0,gap,0
110,691958,691.958,1573,0,gap,0
111,695686,695.686,1535,0,gap,0
112,708217,708.217,1563,0,gap,0
113,711956,711.956,1554,0,gap,0
114,715710,715.71,1515,0,gap,0
115,728209,728.209,1527,0,gap,0
116,731982,731.982,1503,0,gap,0
117,735735,735.735,1508,0,gap,0
118,748217,748.217,1515,0,gap,0
119,751981,751.981,1514,0,gap,0
120,755760,755.76,1495,0,gap,0
121,768201,768.201,1483,0,gap,0
122,771995,771.995,1475,0,gap,0
123,775760,775.76,1468,0,gap,0
124,788205,788.205,1469,0,gap,0
125,792040,792.04,1457,0,gap,0
126,795866,795.866,1428,0,gap,0
127,808197,808.197,1439,0,gap,0
128,812044,812.044,1424,0,gap,0
129,815867,815.867,1417,0,gap,0
130,828201,828.201,1408,0,gap,0
131,832043,832.043,1396,0,gap,0
132,835895,835.895,1383,0,gap,0
133,839767,839.767,1393,0,gap,0
134,848219,848.219,1361,0,gap,0
135,858209,858.209,1375,0,gap,0
136,862107,862.107,1356,0,gap,0
137,865984,865.984,1330,0,gap,0
138,878222,878.222,1338,0,gap,0
139,882117,882.117,1328,0,gap,0
140,886012,886.012,1325,0,gap,0
141,898209,898.209,1319,0,gap,0
142,902122,902.122,1306,0,gap,0
143,906023,906.023,1307,0,gap,0
144,909944,909.944,1287,0,gap,0
145,918211,918.211,1290,0,gap,0
146,928217,928.217,1280,0,gap,0
147,932135,932.135,1263,0,gap,0
148,936059,936.059,1266,0,gap,0
149,948210,948.21,1258,0,gap,0
150,952145,952.145,1254,0,gap,0
151,956072,956.072,1243,0,gap,0
152,968217,968.217,1244,0,gap,0
153,972154,972.154,1235,0,gap,0
154,976098,976.098,1218,0,gap,0
155,980040,980.04,1215,0,gap,0
156,988219,988.219,1228,0,gap,0
