field,value
command,sensor sample 200 1ms
metadata.count,200
metadata.delay_us,1000
baseline_adc,0.0
fall_time_ms,
peak_adc,0.0
peak_time_ms,0.021
pulse_count,0
pulse_width_ms,
rise_time_ms,
sample_count,194
sample_interval_avg_ms,6.59199481865285
sample_interval_max_ms,42.026
sample_interval_min_ms,4.473999999999933
threshold_adc,
threshold_crossing_ms,
