field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,177587.833537973
metadata.host_capture_finished_wall_time_s,1779832094.850175858
metadata.host_command_sent_perf_counter_s,177469.079650082
metadata.host_command_sent_wall_time_s,1779831976.096288919
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17749
baseline_adc,605.1428571428571
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.431
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17749
sample_interval_avg_ms,6.688221940500338
sample_interval_max_ms,16.021999999997206
sample_interval_min_ms,3.6289999999999054
threshold_adc,2350.0714285714284
threshold_crossing_ms,
