field,value
command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
metadata.count,10
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,14607.069622496
metadata.host_capture_finished_wall_time_s,1779488450.815301418
metadata.host_command_sent_perf_counter_s,14589.115299972
metadata.host_command_sent_wall_time_s,1779488432.860978842
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,2701
baseline_adc,2576.1428571428573
fall_time_ms,
peak_adc,3941.0
peak_time_ms,5842.467
pulse_count,10
pulse_width_ms,
rise_time_ms,
sample_count,2701
sample_interval_avg_ms,6.635021851851852
sample_interval_max_ms,12.623999999999999
sample_interval_min_ms,3.6770000000000014
threshold_adc,3258.5714285714284
threshold_crossing_ms,
