field,value
mode,random-train
webcam.frames,4096
webcam.detected_frames,0
webcam.detection_events,0
webcam.measured_fps,29.889554893532065
op598.pulse_events,60
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,-1.8551207506485905
coincidence.abs_mean_offset_ms,9.14156056533102
visuals.representative_frames,60
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2413.1428571428573
op598.command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
op598.fall_time_ms,
op598.metadata.count,60
op598.metadata.duration_ms,40
op598.metadata.duty,0
op598.metadata.host_capture_finished_perf_counter_s,174219.901909469
op598.metadata.host_capture_finished_wall_time_s,1779828726.918548584
op598.metadata.host_command_sent_perf_counter_s,174101.598700499
op598.metadata.host_command_sent_wall_time_s,1779828608.615336180
op598.metadata.max_period_ms,2200
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,17731
op598.peak_adc,2538.0
op598.peak_time_ms,0.115
op598.pulse_count,60
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,17731
op598.sample_interval_avg_ms,6.669794416243655
op598.sample_interval_max_ms,15.779999999998836
op598.sample_interval_min_ms,3.655000000000001
op598.threshold_adc,2475.5714285714284
op598.threshold_crossing_ms,
