field,value
command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,0
metadata.host_capture_finished_perf_counter_s,176701.225222792
metadata.host_capture_finished_wall_time_s,1779831208.241856575
metadata.host_command_sent_perf_counter_s,176581.586353643
metadata.host_command_sent_wall_time_s,1779831088.602989197
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17904
baseline_adc,2600.285714285714
fall_time_ms,
peak_adc,2722.0
peak_time_ms,0.106
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17904
sample_interval_avg_ms,6.679787465787856
sample_interval_max_ms,16.48300000000745
sample_interval_min_ms,3.6499999999999986
threshold_adc,2661.142857142857
threshold_crossing_ms,
