pulse_index,op598_anchor_ms,op598_start_ms,op598_end_ms,op598_peak_adc,op598_threshold_adc,anchor_perf_counter_s,nearest_frame_index,nearest_frame_dt_ms,matched_frame_index,matched_frame_dt_ms,window_frame_count,detected_frame_count,detected_in_window,matched_frame_detected,matched_frame_max,matched_frame_p99,matched_frame_threshold
0,46.726,40.39,76.712,4095,3274.2390178623377,170106.233864281,66,-8.248044003266841,66,-8.248044003266841,6,0,False,False,68.0,25.0,98.9625
1,2196.717,2184.253,2220.425,4095,3274.2390178623377,170108.38385528102,131,1.8225719686597586,131,1.8225719686597586,6,0,False,False,68.0,24.0,98.9625
2,4143.517,4136.704,4166.705,4095,3274.2390178623377,170110.330655281,189,-16.96316900779493,189,-16.96316900779493,6,0,False,False,66.0,25.0,98.9625
3,5960.578,5956.708,5984.15,4095,3274.2390178623377,170112.147716281,244,-6.0252060065977275,244,-6.0252060065977275,6,0,False,False,69.0,24.0,98.9625
4,7866.725,7854.541,7890.583,4095,3274.2390178623377,170114.053863281,301,-16.172783012734726,301,-16.172783012734726,6,0,False,False,71.0,24.0,98.9625
5,9820.662,9816.708,9844.298,4095,3274.2390178623377,170116.00780028102,360,-6.060729007003829,360,-6.060729007003829,6,0,False,False,66.0,26.0,98.9625
6,11710.566,11706.717,11736.705,4095,3274.2390178623377,170117.897704281,417,0.13747598859481514,417,0.13747598859481514,6,0,False,False,71.0,25.0,98.9625
7,13750.559,13746.709,13776.713,4095,3274.2390178623377,170119.937697281,478,-11.815116013167426,478,-11.815116013167426,6,0,False,False,68.0,24.0,98.9625
8,15674.643,15670.628,15706.713,4095,3274.2390178623377,170121.861781281,536,-7.973422005306929,536,-7.973422005306929,6,0,False,False,66.0,26.0,98.9625
9,17883.639,17876.708,17906.714,4095,3274.2390178623377,170124.070777281,603,11.051873996620998,603,11.051873996620998,6,0,False,False,68.0,26.0,98.9625
10,19940.804,19936.708,19966.696,4095,3274.2390178623377,170126.12794228102,665,18.034667969914153,665,18.034667969914153,6,0,False,False,66.0,24.0,98.9625
11,22056.718,22056.718,22084.193,4095,3274.2390178623377,170128.243856281,728,-6.007329007843509,728,-6.007329007843509,6,0,False,False,68.0,25.0,98.9625
12,24150.615,24146.709,24176.713,4095,3274.2390178623377,170130.337753281,791,-3.9219089958351105,791,-3.9219089958351105,6,0,False,False,73.0,26.0,98.9625
13,25976.718,25964.504,26000.561,4095,3274.2390178623377,170132.163856281,846,-1.9151050073560327,846,-1.9151050073560327,6,0,False,False,74.0,24.0,98.9625
14,27986.727,27976.709,28010.518,4095,3274.2390178623377,170134.17386528102,907,15.952806978020817,907,15.952806978020817,6,0,False,False,66.0,24.0,98.9625
15,29800.776,29796.709,29826.713,4095,3274.2390178623377,170135.987914281,961,-2.079422993119806,961,-2.079422993119806,6,0,False,False,72.0,26.0,98.9625
16,31710.69,31706.713,31734.372,4095,3274.2390178623377,170137.897828281,1018,-15.909855021163821,1018,-15.909855021163821,6,0,False,False,66.0,24.0,98.9625
17,33614.869,33610.752,33646.706,4095,3274.2390178623377,170139.80200728102,1076,7.929893996333703,1076,7.929893996333703,6,0,False,False,67.0,25.0,98.9625
18,35486.723,35476.717,35510.575,4095,3274.2390178623377,170141.67386128101,1132,0.047026987886056304,1132,0.047026987886056304,7,0,False,False,74.0,25.0,98.9625
19,37630.669,37630.669,37666.705,4095,3274.2390178623377,170143.817807281,1196,-15.87631501024589,1196,-15.87631501024589,6,0,False,False,72.0,24.0,98.9625
20,39836.727,39824.799,39860.713,4095,3274.2390178623377,170146.023865281,1263,6.107088993303478,1263,6.107088993303478,6,0,False,False,68.0,25.0,98.9625
21,42004.989,42000.813,42036.705,4095,3274.2390178623377,170148.192127281,1328,1.9459989853203297,1328,1.9459989853203297,6,0,False,False,73.0,26.0,98.9625
22,44036.718,44026.716,44060.743,4095,3274.2390178623377,170150.223856281,1389,-1.8916849803645164,1389,-1.8916849803645164,6,0,False,False,66.0,24.0,98.9625
23,45914.738,45910.682,45946.705,4095,3274.2390178623377,170152.101876281,1446,16.18720800615847,1446,16.18720800615847,6,0,False,False,77.0,26.0,98.9625
24,48016.726,48010.706,48046.696,4095,3274.2390178623377,170154.203864281,1509,6.281734997173771,1509,6.281734997173771,6,0,False,False,66.0,24.0,98.9625
25,49840.901,49836.717,49866.705,4095,3274.2390178623377,170156.028039281,1564,14.062830014154315,1564,14.062830014154315,6,0,False,False,76.0,25.0,98.9625
