trial,latency_us,adc
1,548,64
2,461,79
3,856,112
4,615,55
5,850,67
6,461,75
7,773,87
8,691,58
9,618,57
10,615,65
11,542,67
12,1000,64
13,695,60
14,772,64
15,773,87
16,615,55
17,927,80
18,615,61
19,926,66
20,768,64
21,696,56
22,697,61
23,619,64
24,845,57
25,541,67
26,922,74
27,773,78
28,692,65
29,695,65
30,774,74
31,849,80
32,769,60
33,773,62
34,768,70
35,695,56
36,769,77
37,695,74
38,774,76
39,849,66
40,845,80
41,695,64
42,691,60
43,773,71
44,845,75
45,849,69
46,697,55
47,695,59
48,692,55
49,695,58
50,769,62
