trial,status,latency_us,freq_hz,adc,baseline_adc,threshold,dark_level,lit_level,contrast,direction,mode
1,ok,559,1788.908813,165,154,163,154,191,37,rising,threshold
2,ok,256,3906.250000,163,154,163,154,191,37,rising,threshold
3,ok,339,2949.852539,165,154,163,154,191,37,rising,threshold
4,ok,252,3968.253906,166,154,163,154,191,37,rising,threshold
5,ok,565,1769.911499,169,154,163,154,191,37,rising,threshold
6,ok,652,1533.742310,163,154,163,154,191,37,rising,threshold
7,ok,644,1552.795044,165,154,163,154,191,37,rising,threshold
8,ok,426,2347.417725,167,154,163,154,191,37,rising,threshold
9,ok,245,4081.632568,165,154,163,154,191,37,rising,threshold
10,ok,343,2915.451904,169,154,163,154,191,37,rising,threshold
11,ok,418,2392.344482,163,154,163,154,191,37,rising,threshold
12,ok,795,1257.861694,165,154,163,154,191,37,rising,threshold
13,ok,569,1757.469238,163,154,163,154,191,37,rising,threshold
14,ok,347,2881.844482,166,154,163,154,191,37,rising,threshold
15,ok,236,4237.288086,169,154,163,154,191,37,rising,threshold
16,ok,253,3952.569092,165,154,163,154,191,37,rising,threshold
17,ok,244,4098.360840,166,154,163,154,191,37,rising,threshold
18,ok,652,1533.742310,171,154,163,154,191,37,rising,threshold
19,ok,424,2358.490479,169,154,163,154,191,37,rising,threshold
20,ok,652,1533.742310,167,154,163,154,191,37,rising,threshold
21,ok,343,2915.451904,167,154,163,154,191,37,rising,threshold
22,ok,347,2881.844482,166,154,163,154,191,37,rising,threshold
23,ok,637,1569.858765,168,154,163,154,191,37,rising,threshold
24,ok,953,1049.317993,163,154,163,154,191,37,rising,threshold
25,ok,866,1154.734375,165,154,163,154,191,37,rising,threshold
26,ok,720,1388.888916,163,154,163,154,191,37,rising,threshold
27,ok,568,1760.563354,164,154,163,154,191,37,rising,threshold
28,ok,494,2024.291504,165,154,163,154,191,37,rising,threshold
29,ok,945,1058.201050,166,154,163,154,191,37,rising,threshold
30,ok,1183,845.308533,166,154,163,154,191,37,rising,threshold
31,ok,645,1550.387573,163,154,163,154,191,37,rising,threshold
32,ok,419,2386.634766,163,154,163,154,191,37,rising,threshold
33,ok,569,1757.469238,166,154,163,154,191,37,rising,threshold
34,ok,1329,752.445435,164,154,163,154,191,37,rising,threshold
35,ok,1020,980.392151,163,154,163,154,191,37,rising,threshold
36,ok,577,1733.102295,163,154,163,154,191,37,rising,threshold
37,ok,493,2028.397583,165,154,163,154,191,37,rising,threshold
38,ok,648,1543.209839,164,154,163,154,191,37,rising,threshold
39,ok,1400,714.285706,163,154,163,154,191,37,rising,threshold
40,ok,1029,971.817322,167,154,163,154,191,37,rising,threshold
41,ok,644,1552.795044,165,154,163,154,191,37,rising,threshold
42,ok,351,2849.002930,166,154,163,154,191,37,rising,threshold
43,ok,1102,907.441040,163,154,163,154,191,37,rising,threshold
44,ok,1627,614.628174,163,154,163,154,191,37,rising,threshold
45,ok,1100,909.090881,170,154,163,154,191,37,rising,threshold
46,ok,422,2369.668213,163,154,163,154,191,37,rising,threshold
47,ok,644,1552.795044,165,154,163,154,191,37,rising,threshold
48,ok,1634,611.995117,165,154,163,154,191,37,rising,threshold
49,ok,1246,802.568237,166,154,163,154,191,37,rising,threshold
50,ok,953,1049.317993,166,154,163,154,191,37,rising,threshold
