trial,latency_us,adc
1,368,140
2,217,94
3,221,59
4,217,60
5,221,89
6,217,110
7,221,80
8,308,80
9,221,69
10,217,109
11,221,116
12,217,80
13,221,63
14,217,105
15,221,106
16,217,99
17,221,64
18,217,64
19,221,107
20,217,115
21,221,94
22,218,61
23,221,81
24,217,112
25,225,106
26,218,80
27,221,65
28,218,95
29,221,117
30,217,99
31,221,64
32,217,75
33,221,112
34,217,119
35,221,86
36,217,67
37,221,85
38,217,114
39,221,112
40,217,80
41,221,59
42,217,98
43,221,123
44,217,96
45,221,76
46,217,71
47,221,112
48,217,123
49,221,93
50,217,61
