trial,latency_us,adc
1,3713,59
2,2708,65
3,2705,64
4,2700,61
5,2624,59
6,2619,59
7,2632,57
8,2619,55
9,2633,61
10,2700,63
11,2709,64
12,2701,65
13,2704,61
14,2703,58
15,2706,65
16,2629,65
17,2625,55
18,2627,58
19,2625,57
20,2620,55
21,2706,60
22,2620,59
23,2712,66
24,2701,61
25,2714,67
26,2700,60
27,2705,64
28,2701,61
29,2547,58
30,2702,64
31,2624,55
32,2626,57
33,2705,66
34,2627,56
35,2705,65
36,2620,57
37,2705,62
38,2701,64
39,2632,56
40,2700,64
41,2711,58
42,2620,55
43,2624,55
44,2701,60
45,2624,61
46,2627,60
47,2706,62
48,2550,62
49,2624,60
50,2701,64
