trial,status,latency_us,freq_hz,adc,baseline_adc,threshold,dark_level,lit_level,contrast,direction,mode
1,ok,1157,864.304260,86,0,75,0,303,303,rising,threshold
2,ok,1096,912.408752,80,0,75,0,303,303,rising,threshold
3,ok,1166,857.632935,90,0,75,0,303,303,rising,threshold
4,ok,1174,851.788757,94,0,75,0,303,303,rising,threshold
5,ok,1088,919.117676,77,0,75,0,303,303,rising,threshold
6,ok,1099,909.918091,80,0,75,0,303,303,rising,threshold
7,ok,1167,856.898010,86,0,75,0,303,303,rising,threshold
8,ok,1095,913.242004,76,0,75,0,303,303,rising,threshold
9,ok,1160,862.068970,89,0,75,0,303,303,rising,threshold
10,ok,1106,904.159119,77,0,75,0,303,303,rising,threshold
11,ok,1167,856.898010,83,0,75,0,303,303,rising,threshold
12,ok,1095,913.242004,78,0,75,0,303,303,rising,threshold
13,ok,1160,862.068970,80,0,75,0,303,303,rising,threshold
14,ok,1175,851.063843,87,0,75,0,303,303,rising,threshold
15,ok,1167,856.898010,84,0,75,0,303,303,rising,threshold
16,ok,1170,854.700867,80,0,75,0,303,303,rising,threshold
17,ok,1168,856.164368,82,0,75,0,303,303,rising,threshold
18,ok,1099,909.918091,78,0,75,0,303,303,rising,threshold
19,ok,1167,856.898010,87,0,75,0,303,303,rising,threshold
20,ok,1171,853.970947,92,0,75,0,303,303,rising,threshold
21,ok,1167,856.898010,87,0,75,0,303,303,rising,threshold
22,ok,1172,853.242310,83,0,75,0,303,303,rising,threshold
23,ok,1167,856.898010,82,0,75,0,303,303,rising,threshold
24,ok,1096,912.408752,76,0,75,0,303,303,rising,threshold
25,ok,1085,921.658997,80,0,75,0,303,303,rising,threshold
26,ok,1175,851.063843,84,0,75,0,303,303,rising,threshold
27,ok,1098,910.746826,75,0,75,0,303,303,rising,threshold
28,ok,1167,856.898010,83,0,75,0,303,303,rising,threshold
29,ok,1091,916.590271,93,0,75,0,303,303,rising,threshold
30,ok,1099,909.918091,77,0,75,0,303,303,rising,threshold
31,ok,1167,856.898010,86,0,75,0,303,303,rising,threshold
32,ok,1095,913.242004,75,0,75,0,303,303,rising,threshold
33,ok,1159,862.812744,93,0,75,0,303,303,rising,threshold
34,ok,1178,848.896423,86,0,75,0,303,303,rising,threshold
35,ok,1167,856.898010,86,0,75,0,303,303,rising,threshold
36,ok,1096,912.408752,75,0,75,0,303,303,rising,threshold
37,ok,1085,921.658997,75,0,75,0,303,303,rising,threshold
38,ok,1100,909.090881,75,0,75,0,303,303,rising,threshold
39,ok,1163,859.845215,87,0,75,0,303,303,rising,threshold
40,ok,1175,851.063843,92,0,75,0,303,303,rising,threshold
41,ok,1098,910.746826,79,0,75,0,303,303,rising,threshold
42,ok,1092,915.750916,75,0,75,0,303,303,rising,threshold
43,ok,1092,915.750916,75,0,75,0,303,303,rising,threshold
44,ok,1100,909.090881,80,0,75,0,303,303,rising,threshold
45,ok,1088,919.117676,78,0,75,0,303,303,rising,threshold
46,ok,1099,909.918091,80,0,75,0,303,303,rising,threshold
47,ok,1092,915.750916,81,0,75,0,303,303,rising,threshold
48,ok,1102,907.441040,79,0,75,0,303,303,rising,threshold
49,ok,1084,922.509216,83,0,75,0,303,303,rising,threshold
50,ok,1092,915.750916,81,0,75,0,303,303,rising,threshold
