field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,175233.612638256
metadata.host_capture_finished_wall_time_s,1779829740.629271507
metadata.host_command_sent_perf_counter_s,175115.057026205
metadata.host_command_sent_wall_time_s,1779829622.073665380
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17711
baseline_adc,757.8571428571429
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.366
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17711
sample_interval_avg_ms,6.691600338791643
sample_interval_max_ms,16.410999999992782
sample_interval_min_ms,3.654
threshold_adc,2426.4285714285716
threshold_crossing_ms,
