timestamp_s,frame_index,mean,max,p99,threshold,detected
0.030096583999693394,0,17.374114583333334,24.0,18.0,84.0,0
0.06603457600431284,1,17.368701171875,26.0,18.0,84.0,0
0.09804349000478396,2,17.369020182291667,25.0,18.0,84.0,0
0.13002410100307316,3,17.3655078125,24.0,18.0,84.0,0
0.1660952080055722,4,17.379703776041666,26.0,18.0,84.0,0
0.19810261000384344,5,17.367503255208334,23.0,18.0,84.0,0
0.2340277040057117,6,17.362513020833333,24.0,18.0,84.0,0
0.2660537949996069,7,17.371357421875,23.0,18.0,84.0,0
0.2980440650062519,8,17.372135416666666,24.0,18.0,84.0,0
0.3340720650012372,9,17.375944010416667,26.0,18.0,84.0,0
0.3687642139993841,10,17.370859375,23.0,18.0,84.0,0
0.3997522640056559,11,17.374482421875,26.0,18.0,84.0,0
0.4341182560019661,12,17.377177734375,25.0,18.0,84.0,0
0.4660839019998093,13,17.379378255208334,26.0,18.0,84.0,0
0.49807803200383205,14,17.377776692708334,23.0,18.0,84.0,0
0.5341066590044647,15,17.371432291666668,23.0,18.0,84.0,0
0.5660735560013563,16,17.371432291666668,23.0,18.0,84.0,0
0.6020887449994916,17,17.373408203125,24.0,18.0,84.0,0
0.6340999610038125,18,17.371748046875,23.0,18.0,84.0,0
0.6660579130038968,19,17.372659505208333,23.0,18.0,84.0,0
0.7020958350040019,20,17.375729166666666,23.0,18.0,84.0,0
0.7341081780032255,21,17.37232421875,25.0,18.0,84.0,0
0.7660866740043275,22,17.3636328125,26.0,18.0,84.0,0
0.802097040002991,23,17.370777994791666,28.0,18.0,84.0,0
0.8341197469999315,24,17.3705859375,26.0,18.0,84.0,0
0.870087508999859,25,17.369244791666667,28.0,18.0,84.0,0
0.9021025890033343,26,17.372317708333334,23.0,18.0,84.0,0
0.9340428470022744,27,17.364280598958334,24.0,18.0,84.0,0
0.9700812910014065,28,17.382093098958332,23.0,18.0,84.0,0
1.0020825329993386,29,17.369309895833332,27.0,18.0,84.0,0
1.034057496006426,30,17.37444986979167,25.0,18.0,84.0,0
1.0700730600001407,31,17.384840494791668,26.0,18.0,84.0,0
1.102100109004823,32,17.380139973958332,28.0,18.0,84.0,0
1.1340357340013725,33,17.370764973958334,23.0,18.0,84.0,0
1.170033123002213,34,17.371663411458332,25.0,18.0,84.0,0
1.2020002909994218,35,17.372184244791665,25.0,18.0,84.0,0
1.2380453170044348,36,17.366510416666667,25.0,18.0,84.0,0
1.2700533830065979,37,17.373411458333333,23.0,18.0,84.0,0
1.3020288610059652,38,17.368577473958332,22.0,18.0,84.0,0
1.3380596580027486,39,17.3755078125,22.0,18.0,84.0,0
1.370094058001996,40,17.377047526041668,21.0,18.0,84.0,0
1.4019940460057114,41,17.369876302083334,23.0,18.0,84.0,0
1.4381388260007952,42,17.373395182291667,22.0,18.0,84.0,0
1.4701523879994056,43,17.369860026041668,25.0,18.0,84.0,0
1.5060687270015478,44,17.375930989583335,22.0,18.0,84.0,0
1.5381106480053859,45,17.375764973958333,24.0,18.0,84.0,0
1.5700026770064142,46,17.371669921875,23.0,18.0,84.0,0
1.6060830060014268,47,17.37521809895833,23.0,18.0,84.0,0
1.6380797610036097,48,17.374990234375,27.0,18.0,84.0,0
1.6700804490028531,49,17.374612630208333,22.0,18.0,84.0,0
1.7061336750048213,50,17.362513020833333,25.0,18.0,84.0,0
1.7380871179993846,51,17.36642578125,26.0,18.0,84.0,0
1.7700193130003754,52,17.371383463541665,24.0,18.0,84.0,0
1.806011644002865,53,17.36634765625,27.0,18.0,84.0,0
1.8380656490044203,54,17.373040364583332,25.0,18.0,84.0,0
1.8740991220038268,55,17.363131510416668,23.0,18.0,84.0,0
1.9060703740033205,56,17.366067708333333,21.0,18.0,84.0,0
1.9380643460026477,57,17.375572916666666,22.0,18.0,84.0,0
1.9740097520043491,58,17.391429036458334,24.0,18.0,84.0,0
2.0061051080047037,59,17.730533854166666,235.0,21.0,84.0,1
2.0380502450061613,60,17.395227864583333,24.0,18.0,84.0,0
2.074049800001376,61,17.370113932291666,26.0,18.0,84.0,0
2.1060563050050405,62,17.365872395833332,23.0,18.0,84.0,0
2.1420947830047226,63,17.371656901041668,23.0,18.0,84.0,0
2.174067873005697,64,17.378531901041665,20.0,18.0,84.0,0
2.2060605110018514,65,17.374322916666667,25.0,18.0,84.0,0
2.242112473999441,66,17.369544270833334,26.0,18.0,84.0,0
2.2740795530044124,67,17.37833984375,23.0,18.0,84.0,0
2.306050947001495,68,17.370045572916666,24.0,18.0,84.0,0
2.342063321004389,69,17.375693359375,22.0,18.0,84.0,0
2.3740891289999126,70,17.376689453125,25.0,18.0,84.0,0
2.4060380990049453,71,17.377386067708333,23.0,18.0,84.0,0
2.4420639860036317,72,17.367783203125,23.0,18.0,84.0,0
2.4740454070051783,73,17.38265625,22.0,18.0,84.0,0
2.510066724003991,74,17.3660546875,23.0,18.0,84.0,0
2.5420920320029836,75,17.369677734375,23.0,18.0,84.0,0
2.574049801005458,76,17.372356770833335,27.0,18.0,84.0,0
2.6101093380057137,77,17.375553385416666,23.0,18.0,84.0,0
2.642103322999901,78,17.377770182291666,24.0,18.0,84.0,0
2.6740739990054863,79,17.3689453125,23.0,18.0,84.0,0
2.710092313005589,80,17.37404947916667,25.0,18.0,84.0,0
2.7420637140021427,81,17.36509765625,23.0,18.0,84.0,0
2.778109643004427,82,17.374951171875,23.0,18.0,84.0,0
2.810076323003159,83,17.374879557291667,24.0,18.0,84.0,0
2.842071205006505,84,17.37111979166667,24.0,18.0,84.0,0
2.8780881900020177,85,17.36412109375,24.0,18.0,84.0,0
2.910028061000048,86,17.373336588541665,27.0,18.0,84.0,0
2.941986136000196,87,17.364541015625,23.0,18.0,84.0,0
2.978063901005953,88,17.66818684895833,235.0,19.0,84.0,1
3.0100393460015766,89,17.737923177083335,235.0,21.0,84.0,1
3.041987535005319,90,17.387473958333334,26.0,18.0,84.0,0
