field,value
mode,random-train
webcam.frames,3376
webcam.detected_frames,0
webcam.detection_events,0
webcam.measured_fps,30.070349808171645
op598.pulse_events,60
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,-444.2296192860037
coincidence.abs_mean_offset_ms,450.44162321767845
visuals.representative_frames,60
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2299.8571428571427
op598.command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
op598.fall_time_ms,
op598.metadata.count,60
op598.metadata.duration_ms,40
op598.metadata.duty,0
op598.metadata.host_capture_finished_perf_counter_s,173858.379155348
op598.metadata.host_capture_finished_wall_time_s,1779828365.395788193
op598.metadata.host_command_sent_perf_counter_s,173739.555114007
op598.metadata.host_command_sent_wall_time_s,1779828246.571749926
op598.metadata.max_period_ms,2200
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,17803
op598.peak_adc,2423.0
op598.peak_time_ms,0.107
op598.pulse_count,60
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,17803
op598.sample_interval_avg_ms,6.671561229075385
op598.sample_interval_max_ms,16.175000000000068
op598.sample_interval_min_ms,3.6230000000000047
op598.threshold_adc,2361.4285714285716
op598.threshold_crossing_ms,
