field,value
mode,random-train
webcam.frames,785
webcam.detected_frames,77
webcam.detection_events,61
webcam.measured_fps,30.070275456113123
op598.pulse_events,10
coincidence.detected_windows,6
coincidence.matched_detected,6
coincidence.mean_offset_ms,8.024082099473162
coincidence.abs_mean_offset_ms,26.543269099602185
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2851.8571428571427
op598.command,sensor random_train_profile 10 1800 2100 40 8 40 120 1000
op598.fall_time_ms,
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,8
op598.metadata.host_capture_finished_perf_counter_s,9411.828445823
op598.metadata.host_capture_finished_wall_time_s,1779483255.574123621
op598.metadata.host_command_sent_perf_counter_s,9394.429942425
op598.metadata.host_command_sent_wall_time_s,1779483238.175621033
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2614
op598.peak_adc,3293.0
op598.peak_time_ms,13468.637
op598.pulse_count,10
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,2614
op598.sample_interval_avg_ms,6.639988518943743
op598.sample_interval_max_ms,14.408999999999992
op598.sample_interval_min_ms,3.6469999999999985
op598.threshold_adc,3072.4285714285716
op598.threshold_crossing_ms,
