pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,42.13,78.482,36.352,45.926,78.482,3200,2873.0234113712377,2873.226400313357,3036.6132001566784,299,True
1,1988.655,2024.81,36.15499999999997,1992.596,1992.596,3245,2885.5886524822695,2873.226400313357,3059.1132001566784,282,True
2,3864.818,3892.458,27.639999999999873,3868.8,3892.458,3225,2884.9685314685316,2873.226400313357,3049.1132001566784,286,True
3,5764.802,5792.536,27.73400000000038,5768.823,5792.536,3219,2890.0359712230215,2873.226400313357,3046.1132001566784,278,True
4,7608.739,7644.806,36.06700000000001,7612.767,7628.694,3200,2886.348148148148,2873.226400313357,3036.6132001566784,270,True
5,9408.725,9444.806,36.08100000000013,9412.748,9412.748,3191,2879.798013245033,2873.226400313357,3032.1132001566784,302,True
6,11424.815,11452.243,27.427999999999884,11428.68,11432.395,3223,2882.1947194719473,2873.226400313357,3048.1132001566784,303,True
7,13444.81,13472.45,27.640000000001237,13448.776,13468.637,3293,2880.7598566308243,2873.226400313357,3083.1132001566784,279,True
8,15304.814,15332.503,27.689000000000306,15308.808,15332.503,3289,2847.1971830985917,2873.226400313357,3081.1132001566784,284,True
9,17192.702,17228.72,36.01800000000003,17204.811,17232.605,3222,2910.4166666666665,2873.226400313357,3047.6132001566784,24,True
