field,value
command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,0
metadata.host_capture_finished_perf_counter_s,174219.901909469
metadata.host_capture_finished_wall_time_s,1779828726.918548584
metadata.host_command_sent_perf_counter_s,174101.598700499
metadata.host_command_sent_wall_time_s,1779828608.615336180
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17731
baseline_adc,2413.1428571428573
fall_time_ms,
peak_adc,2538.0
peak_time_ms,0.115
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17731
sample_interval_avg_ms,6.669794416243655
sample_interval_max_ms,15.779999999998836
sample_interval_min_ms,3.655000000000001
threshold_adc,2475.5714285714284
threshold_crossing_ms,
