field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,174513.590979118
metadata.host_capture_finished_wall_time_s,1779829020.607613087
metadata.host_command_sent_perf_counter_s,174395.662390752
metadata.host_command_sent_wall_time_s,1779828902.679026365
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17621
baseline_adc,730.7142857142857
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.191
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17621
sample_interval_avg_ms,6.690014982973894
sample_interval_max_ms,16.037000000000035
sample_interval_min_ms,3.6499999999999986
threshold_adc,2412.8571428571427
threshold_crossing_ms,
