field,value
command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
metadata.count,10
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,11568.013872190
metadata.host_capture_finished_wall_time_s,1779485411.759553432
metadata.host_command_sent_perf_counter_s,11550.209242446
metadata.host_command_sent_wall_time_s,1779485393.954921246
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,2674
baseline_adc,2615.4285714285716
fall_time_ms,
peak_adc,3857.0
peak_time_ms,15644.476
pulse_count,10
pulse_width_ms,
rise_time_ms,
sample_count,2674
sample_interval_avg_ms,6.645851851851853
sample_interval_max_ms,14.416000000000054
sample_interval_min_ms,3.617000000000189
threshold_adc,3236.214285714286
threshold_crossing_ms,
