field,value
mode,random-train
webcam.frames,785
webcam.detected_frames,0
webcam.detection_events,0
webcam.measured_fps,30.070222573089605
op598.pulse_events,10
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,4.285090499615762
coincidence.abs_mean_offset_ms,8.75502909948409
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2914.714285714286
op598.command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
op598.fall_time_ms,7.817000000000917
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,9147.661579888
op598.metadata.host_capture_finished_wall_time_s,1779482991.407256603
op598.metadata.host_command_sent_perf_counter_s,9129.817719393
op598.metadata.host_command_sent_wall_time_s,1779482973.563398600
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2683
op598.peak_adc,3793.0
op598.peak_time_ms,13722.221
op598.pulse_count,10
op598.pulse_width_ms,13688.801
op598.rise_time_ms,32.479000000000006
op598.sample_count,2683
op598.sample_interval_avg_ms,6.636926547352722
op598.sample_interval_max_ms,12.644999999999996
op598.sample_interval_min_ms,3.6729999999999983
op598.threshold_adc,3353.857142857143
op598.threshold_crossing_ms,45.954
