pulse_index,op598_anchor_ms,op598_start_ms,op598_end_ms,op598_peak_adc,op598_threshold_adc,anchor_perf_counter_s,nearest_frame_index,nearest_frame_dt_ms,matched_frame_index,matched_frame_dt_ms,window_frame_count,detected_frame_count,detected_in_window,matched_frame_detected,matched_frame_max,matched_frame_p99,matched_frame_threshold
0,41.937,41.937,78.257,3666,2970.0876928867146,11989.296790997,62,-5.3363850001915125,63,26.548899000772508,6,2,True,True,90.0,18.0,24.677419354838708
1,2078.382,2074.566,2101.903,3887,3080.5876928867146,11991.333235996999,123,-1.92159599828301,124,30.051719000766752,6,1,True,True,91.0,18.0,24.677419354838708
2,3938.413,3934.566,3961.952,3750,3012.0876928867146,11993.193266997,179,14.205383000444272,180,46.0985570007324,6,1,True,True,90.0,18.0,24.677419354838708
3,6038.573,6034.558,6062.287,3762,3018.0876928867146,11995.293426997,241,-9.899613000015961,242,21.992559000864276,6,2,True,True,79.0,18.0,24.677419354838708
4,8088.445,8084.566,8112.012,3696,2985.0876928867146,11997.343298996999,303,12.114845001633512,304,48.14909800188616,6,1,True,True,91.0,18.0,24.677419354838708
5,10128.59,10124.566,10152.288,3642,2958.0876928867146,11999.383443997,363,-15.938952999931644,365,48.00327399971138,6,1,True,True,93.0,18.0,24.677419354838708
6,12088.654,12084.566,12110.168,3558,2916.0876928867146,12001.343507996999,422,-4.10525599909306,423,31.965968000804423,6,2,True,True,89.0,18.0,24.677419354838708
7,14072.281,14068.378,14104.563,3601,2937.5876928867146,12003.327134997,481,-11.698946000251453,482,20.230567999533378,6,2,True,True,91.0,18.0,24.677419354838708
8,15908.48,15904.57,15932.09,3905,3089.5876928867146,12005.163333997,536,-7.784546998664155,537,28.096878000724246,6,2,True,True,91.0,18.0,24.677419354838708
9,17888.58,17884.566,17912.29,3730,3002.0876928867146,12007.143433997,595,-12.007053999695927,596,19.979257000159123,6,2,True,True,79.0,18.0,24.677419354838708
