field,value
mode,random-train
webcam.frames,780
webcam.detected_frames,23
webcam.detection_events,18
webcam.measured_fps,29.874085445275135
op598.pulse_events,10
coincidence.detected_windows,10
coincidence.matched_detected,10
coincidence.mean_offset_ms,32.111677700595465
coincidence.abs_mean_offset_ms,32.111677700595465
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2545.8571428571427
op598.command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
op598.fall_time_ms,
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,12007.337436375
op598.metadata.host_capture_finished_wall_time_s,1779485851.083114386
op598.metadata.host_command_sent_perf_counter_s,11989.254853997
op598.metadata.host_command_sent_wall_time_s,1779485833.000534296
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2716
op598.peak_adc,3905.0
op598.peak_time_ms,15928.329
op598.pulse_count,10
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,2716
op598.sample_interval_avg_ms,6.646203683241252
op598.sample_interval_max_ms,16.045999999999935
op598.sample_interval_min_ms,3.6500000000000004
op598.threshold_adc,3225.4285714285716
op598.threshold_crossing_ms,
