pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,41.937,78.257,36.32000000000001,41.937,78.257,3666,2208.996784565916,2274.175385773429,2970.0876928867146,311,True
1,2074.566,2101.903,27.33699999999999,2078.382,2098.239,3887,2230.7214285714285,2274.175385773429,3080.5876928867146,280,True
2,3934.566,3961.952,27.386000000000422,3938.413,3958.257,3750,2218.231746031746,2274.175385773429,3012.0876928867146,315,True
3,6034.558,6062.287,27.72900000000027,6038.573,6054.562,3762,2240.844155844156,2274.175385773429,3018.0876928867146,308,True
4,8084.566,8112.012,27.445999999999913,8088.445,8112.012,3696,2344.859477124183,2274.175385773429,2985.0876928867146,306,True
5,10124.566,10152.288,27.721999999999753,10128.59,10148.426,3642,2348.2687074829932,2274.175385773429,2958.0876928867146,294,True
6,12084.566,12110.168,25.601999999998952,12088.654,12092.584,3558,2344.912751677852,2274.175385773429,2916.0876928867146,298,True
7,14068.378,14104.563,36.18499999999949,14072.281,14104.563,3601,2352.2472727272725,2274.175385773429,2937.5876928867146,275,True
8,15904.57,15932.09,27.520000000000437,15908.48,15928.329,3905,2342.2188552188554,2274.175385773429,3089.5876928867146,297,True
9,17884.566,17912.29,27.72400000000198,17888.58,17888.58,3730,2845.0,2274.175385773429,3002.0876928867146,25,True
