timestamp_s,frame_index,mean,max,p99,threshold,detected
0.027636309001536574,0,17.371461588541667,25.0,18.0,452.3639237330297,0
0.0635757720010588,1,17.386197916666667,23.0,18.0,452.3639237330297,0
0.09568422600568738,2,17.375413411458332,20.0,18.0,452.3639237330297,0
0.12766620800539386,3,17.382447916666667,23.0,18.0,452.3639237330297,0
0.16360456000256818,4,17.367880859375,26.0,18.0,452.3639237330297,0
0.19564812300086487,5,17.380592447916666,23.0,18.0,452.3639237330297,0
0.23163283400208456,6,17.382001953125,22.0,18.0,452.3639237330297,0
0.26861473100143485,7,17.379166666666666,26.0,18.0,452.3639237330297,0
0.299282577005215,8,17.378649088541668,25.0,18.0,452.3639237330297,0
0.3346385510012624,9,17.375807291666668,23.0,18.0,452.3639237330297,0
0.36363578800228424,10,17.370979817708335,26.0,18.0,452.3639237330297,0
0.39559615700272843,11,17.377848307291668,25.0,18.0,452.3639237330297,0
0.4316030340050929,12,17.371318359375,24.0,18.0,452.3639237330297,0
0.46362550200137775,13,17.378404947916668,22.0,18.0,452.3639237330297,0
0.4955942550004693,14,17.370862630208332,22.0,18.0,452.3639237330297,0
0.5316153390012914,15,17.37728515625,23.0,18.0,452.3639237330297,0
0.5635730680005508,16,17.37375,30.0,18.0,452.3639237330297,0
0.5996332360009546,17,17.371357421875,25.0,18.0,452.3639237330297,0
0.6316979399998672,18,17.384833984375,24.0,18.0,452.3639237330297,0
0.663678182005242,19,17.372415364583333,22.0,18.0,452.3639237330297,0
0.6996700700037763,20,17.36978515625,23.0,18.0,452.3639237330297,0
0.7317384920024779,21,17.371240234375,23.0,18.0,452.3639237330297,0
0.7636612510032137,22,17.37474609375,25.0,18.0,452.3639237330297,0
0.799660455006233,23,17.3675390625,22.0,18.0,452.3639237330297,0
0.8316906809995999,24,17.376533203125,24.0,18.0,452.3639237330297,0
0.8676417270035017,25,17.378352864583334,25.0,18.0,452.3639237330297,0
0.8996713690066827,26,17.371298828125,24.0,18.0,452.3639237330297,0
0.93161875000078,27,17.373411458333333,21.0,18.0,452.3639237330297,0
0.9676302490042872,28,17.37591471354167,25.0,18.0,452.3639237330297,0
1.00089081000624,29,17.37628255208333,26.0,18.0,452.3639237330297,0
1.0316091350032366,30,17.373723958333333,24.0,18.0,452.3639237330297,0
1.0676423770055408,31,17.3780078125,22.0,18.0,452.3639237330297,0
1.0996798430060153,32,17.380491536458333,28.0,18.0,452.3639237330297,0
1.1316490919998614,33,17.378375651041665,24.0,18.0,452.3639237330297,0
1.1676534569996875,34,17.380266927083333,24.0,18.0,452.3639237330297,0
1.1995815860063885,35,17.379791666666666,23.0,18.0,452.3639237330297,0
1.2356286740032374,36,17.372360026041665,23.0,18.0,452.3639237330297,0
1.2676903150058934,37,17.369075520833334,24.0,18.0,452.3639237330297,0
1.2996684060053667,38,17.375709635416666,23.0,18.0,452.3639237330297,0
1.3356524940027157,39,17.371790364583333,26.0,18.0,452.3639237330297,0
1.3675946450021002,40,17.376809895833333,24.0,18.0,452.3639237330297,0
1.3996629130051588,41,17.375690104166665,25.0,18.0,452.3639237330297,0
1.4357291060005082,42,17.372623697916666,22.0,18.0,452.3639237330297,0
1.4677185649998137,43,17.36970703125,23.0,18.0,452.3639237330297,0
1.5036602130057872,44,17.375029296875,26.0,18.0,452.3639237330297,0
1.5356725810052012,45,17.377021484375,21.0,18.0,452.3639237330297,0
1.5676125770041835,46,17.374225260416665,27.0,18.0,452.3639237330297,0
1.603629887002171,47,17.376168619791667,23.0,18.0,452.3639237330297,0
1.635699498001486,48,17.376634114583332,26.0,18.0,452.3639237330297,0
1.667642357002478,49,17.37626953125,24.0,18.0,452.3639237330297,0
1.7037471190051292,50,17.374300130208333,23.0,18.0,452.3639237330297,0
1.7357904790042085,51,17.374576822916666,27.0,18.0,452.3639237330297,0
1.7676601750063128,52,17.376852213541667,26.0,18.0,452.3639237330297,0
1.803672991001804,53,17.382135416666667,21.0,18.0,452.3639237330297,0
1.835613483999623,54,17.3766796875,23.0,18.0,452.3639237330297,0
1.8716755019995617,55,17.369990234375,24.0,18.0,452.3639237330297,0
1.9037225380016025,56,17.382454427083335,21.0,18.0,452.3639237330297,0
1.9356711530053872,57,17.3719140625,23.0,18.0,452.3639237330297,0
1.9716731000007712,58,17.380384114583332,21.0,18.0,452.3639237330297,0
2.0036330400034785,59,17.374225260416665,27.0,18.0,452.3639237330297,0
2.0356060230042203,60,17.372194010416667,25.0,18.0,452.3639237330297,0
2.071668636002869,61,17.374723307291667,20.0,18.0,452.3639237330297,0
2.1038487420009915,62,17.377229817708333,24.0,18.0,452.3639237330297,0
2.1396645170025295,63,17.374680989583332,24.0,18.0,452.3639237330297,0
2.1717482910025865,64,17.378802083333333,22.0,18.0,452.3639237330297,0
2.203601281005831,65,17.373645833333335,23.0,18.0,452.3639237330297,0
2.2397367270023096,66,17.374169921875,24.0,18.0,452.3639237330297,0
2.27162432300247,67,17.375286458333335,23.0,18.0,452.3639237330297,0
2.3036600800041924,68,17.377770182291666,22.0,18.0,452.3639237330297,0
2.3398486450023483,69,17.716754557291665,235.0,21.0,452.3639237330297,0
2.371764797004289,70,17.421712239583332,24.0,18.0,452.3639237330297,0
2.403681575000519,71,17.380703125,25.0,18.0,452.3639237330297,0
2.43963545900624,72,17.375677083333333,20.0,18.0,452.3639237330297,0
2.471648714999901,73,17.365270182291667,25.0,18.0,452.3639237330297,0
2.5076361350002117,74,17.383759765625,25.0,18.0,452.3639237330297,0
2.5396372090035584,75,17.368876953125,24.0,18.0,452.3639237330297,0
2.571608701000514,76,17.382102864583334,25.0,18.0,452.3639237330297,0
2.6076144160033436,77,17.380192057291666,24.0,18.0,452.3639237330297,0
