pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,41.889,78.213,36.32399999999999,48.227,48.227,4095,1334.6636904761904,1268.3486163705213,2681.674308185261,336,True
1,2200.054,2238.214,38.159999999999854,2208.228,2208.228,4095,1384.2825396825397,1268.3486163705213,2681.674308185261,315,True
2,4278.217,4308.206,29.989000000000487,4285.043,4285.043,4095,1323.6012084592146,1268.3486163705213,2681.674308185261,331,True
3,6448.213,6475.643,27.43000000000029,6452.076,6452.076,4095,1362.663608562691,1268.3486163705213,2681.674308185261,327,True
4,8615.921,8652.024,36.102999999999156,8628.218,8628.218,4095,1479.9528985507247,1268.3486163705213,2681.674308185261,276,True
5,10458.217,10486.038,27.820999999999913,10462.275,10462.275,4095,1493.1360294117646,1268.3486163705213,2681.674308185261,272,True
6,12268.218,12295.676,27.45799999999872,12272.098,12272.098,4095,1413.156462585034,1268.3486163705213,2681.674308185261,294,True
7,14216.204,14248.206,32.00200000000041,14228.218,14228.218,4095,1487.5257352941176,1268.3486163705213,2681.674308185261,272,True
8,16022.033,16058.206,36.173000000000684,16025.936,16025.936,4095,1405.3778501628665,1268.3486163705213,2681.674308185261,307,True
9,18062.026,18098.215,36.18899999999849,18065.937,18065.937,4095,1391.8857142857144,1268.3486163705213,2681.674308185261,315,True
10,20152.048,20188.207,36.15899999999965,20155.957,20155.957,4095,1404.4738562091504,1268.3486163705213,2681.674308185261,306,True
11,22188.218,22218.21,29.99199999999837,22188.218,22192.132,4095,1503.2730627306273,1268.3486163705213,2681.674308185261,271,True
12,23986.056,24022.107,36.050999999999476,23986.056,23998.227,4095,1370.5987654320988,1268.3486163705213,2681.674308185261,324,True
13,26148.209,26176.118,27.90899999999965,26152.321,26152.321,4095,1467.8916967509026,1268.3486163705213,2681.674308185261,277,True
14,27988.218,28018.206,29.987999999997555,27992.142,27992.142,4095,1468.3978873239437,1268.3486163705213,2681.674308185261,284,True
15,29878.217,29906.136,27.91899999999805,29882.328,29882.328,4095,1390.656050955414,1268.3486163705213,2681.674308185261,314,True
16,31968.217,31996.164,27.947000000000116,31972.342,31972.342,4095,1353.3536585365853,1268.3486163705213,2681.674308185261,328,True
17,34148.217,34183.11,34.89300000000367,34152.4,34152.4,4095,1418.8921568627452,1268.3486163705213,2681.674308185261,306,True
18,36188.221,36216.266,28.04500000000553,36192.392,36192.392,4095,1433.2054794520548,1268.3486163705213,2681.674308185261,292,True
19,38138.217,38166.114,27.897000000004482,38142.315,38142.315,4095,1386.514563106796,1268.3486163705213,2681.674308185261,309,True
20,40186.149,40222.174,36.025000000001455,40198.227,40198.227,4095,1472.6117216117216,1268.3486163705213,2681.674308185261,273,True
21,42006.433,42042.274,35.84100000000035,42018.218,42018.218,4095,1446.0284697508896,1268.3486163705213,2681.674308185261,281,True
22,43888.21,43916.038,27.82800000000134,43892.275,43892.275,4095,1395.282958199357,1268.3486163705213,2681.674308185261,311,True
23,45962.188,45998.21,36.021999999997206,45962.188,45966.241,4095,1470.1024734982332,1268.3486163705213,2681.674308185261,283,True
24,47846.482,47882.299,35.81699999999546,47858.226,47858.226,4095,1456.7881944444443,1268.3486163705213,2681.674308185261,288,True
25,49766.22,49802.172,35.9519999999975,49766.22,49778.227,4095,1401.986348122867,1268.3486163705213,2681.674308185261,293,True
26,51717.514,51752.104,34.58999999999651,51728.22,51728.22,4095,1425.6007194244605,1268.3486163705213,2681.674308185261,278,True
27,53578.217,53606.278,28.061000000001513,53582.403,53582.403,4095,1360.3863636363637,1268.3486163705213,2681.674308185261,308,True
28,55628.218,55656.197,27.97899999999936,55632.355,55632.355,4095,1406.7900355871886,1268.3486163705213,2681.674308185261,281,True
29,57498.201,57526.515,28.313999999998487,57502.51,57502.51,4095,1318.595744680851,1268.3486163705213,2681.674308185261,329,True
30,59688.218,59718.206,29.987999999997555,59692.309,59692.309,4095,1416.5192307692307,1268.3486163705213,2681.674308185261,312,True
31,61768.218,61798.206,29.987999999997555,61772.318,61772.318,4095,1468.6736842105263,1268.3486163705213,2681.674308185261,285,True
32,63668.201,63696.494,28.292999999997846,63672.493,63672.493,4095,1368.043076923077,1268.3486163705213,2681.674308185261,325,True
33,65838.201,65866.582,28.380999999993946,65842.533,65842.533,4095,1521.1561338289962,1268.3486163705213,2681.674308185261,269,True
34,67646.279,67682.218,35.93899999999849,67658.226,67658.226,4095,1458.9755244755245,1268.3486163705213,2681.674308185261,286,True
35,69578.21,69608.214,30.004000000000815,69582.546,69582.546,4095,1493.3610108303249,1268.3486163705213,2681.674308185261,277,True
36,71448.218,71472.228,24.010000000009313,71452.374,71452.374,4095,1523.9067164179105,1268.3486163705213,2681.674308185261,268,True
37,73256.48,73292.311,35.83100000000559,73268.218,73268.218,4095,1477.1672473867595,1268.3486163705213,2681.674308185261,287,True
38,75198.201,75229.273,31.072000000000116,75202.623,75202.623,4095,1511.827205882353,1268.3486163705213,2681.674308185261,272,True
39,77038.209,77066.385,28.1759999999922,77042.452,77042.452,4095,1524.0766423357663,1268.3486163705213,2681.674308185261,274,True
40,78888.211,78912.44,24.229000000006636,78892.591,78892.591,4095,1430.047138047138,1268.3486163705213,2681.674308185261,297,True
41,80888.217,80922.386,34.16899999999441,80898.219,80898.219,4095,1513.9,1268.3486163705213,2681.674308185261,270,True
42,82718.209,82746.734,28.52499999999418,82722.609,82722.609,4095,1348.8470948012232,1268.3486163705213,2681.674308185261,327,True
43,84912.58,84948.213,35.63300000000163,84917.049,84917.049,4095,1281.262658227848,1268.3486163705213,2681.674308185261,316,True
44,87034.128,87068.206,34.078000000008615,87048.227,87048.227,4095,1189.3657718120805,1268.3486163705213,2681.674308185261,298,True
45,89042.553,89078.214,35.661000000007334,89047.005,89047.005,4095,1026.0839416058395,1268.3486163705213,2681.674308185261,274,True
46,90878.21,90902.337,24.12699999999313,90882.496,90882.496,4095,1013.7714285714286,1268.3486163705213,2681.674308185261,280,True
47,92758.211,92788.214,30.003000000011525,92762.656,92762.656,4095,946.255737704918,1268.3486163705213,2681.674308185261,305,True
48,94808.219,94838.206,29.987000000008265,94812.622,94812.622,4095,963.0960264900663,1268.3486163705213,2681.674308185261,302,True
49,96838.217,96866.603,28.385999999998603,96842.553,96842.553,4095,999.4305555555555,1268.3486163705213,2681.674308185261,288,True
50,98768.218,98799.512,31.294000000008964,98772.75,98772.75,4095,928.2329192546584,1268.3486163705213,2681.674308185261,322,True
51,100942.43,100978.207,35.77700000000186,100946.727,100946.727,4095,971.0472972972973,1268.3486163705213,2681.674308185261,296,True
52,102968.201,103002.599,34.39800000000105,102978.219,102978.219,4095,933.6309148264984,1268.3486163705213,2681.674308185261,317,True
53,105138.209,105172.613,34.403999999994994,105148.227,105148.227,4095,967.7247386759582,1268.3486163705213,2681.674308185261,287,True
54,107108.218,107138.206,29.988000000012107,107112.648,107112.648,4095,1022.3309352517986,1268.3486163705213,2681.674308185261,278,True
55,109008.218,109037.055,28.836999999999534,109012.789,109012.789,4095,962.9069767441861,1268.3486163705213,2681.674308185261,301,True
56,111068.211,111092.607,24.396000000007916,111068.211,111072.767,4095,938.1378205128206,1268.3486163705213,2681.674308185261,312,True
57,113202.668,113238.215,35.546999999991385,113207.213,113207.213,4095,1041.097014925373,1268.3486163705213,2681.674308185261,268,True
58,115038.214,115072.677,34.462999999988824,115048.228,115048.228,4095,921.5239616613419,1268.3486163705213,2681.674308185261,313,True
