field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,174945.114601233
metadata.host_capture_finished_wall_time_s,1779829452.131236315
metadata.host_command_sent_perf_counter_s,174827.029159198
metadata.host_command_sent_wall_time_s,1779829334.045794010
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17643
baseline_adc,618.7142857142857
fall_time_ms,
peak_adc,4095.0
peak_time_ms,46.908
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17643
sample_interval_avg_ms,6.690605940369573
sample_interval_max_ms,16.460999999995693
sample_interval_min_ms,3.651
threshold_adc,2356.8571428571427
threshold_crossing_ms,
