pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,42.593,78.924,36.331,46.395,46.395,3873,2901.2766666666666,2891.9624373956594,3382.4812186978297,300,True
1,1993.121,2028.853,35.73199999999997,2005.249,2010.789,3614,2899.1136363636365,2891.9624373956594,3252.9812186978297,308,True
2,4045.244,4072.7,27.455999999999676,4049.115,4052.843,3849,2904.2877192982455,2891.9624373956594,3370.4812186978297,285,True
3,5932.852,5969.01,36.15800000000036,5945.245,5969.01,3731,2905.6754098360657,2891.9624373956594,3311.4812186978297,305,True
4,7965.248,7992.998,27.75,7969.264,7989.127,3796,3069.0833333333335,2891.9624373956594,3343.9812186978297,24,True
