tiempo,azul,verde,amarillo,naranja,rojo
0,258,351,304,275,327
100,266,347,313,274,335
200,271,351,320,276,336
301,263,353,311,281,335
401,259,352,315,276,335
501,256,346,321,275,334
601,261,349,315,279,335
701,259,347,317,276,331
802,260,346,313,272,332
902,258,343,315,272,330
1002,257,340,317,271,330
1102,257,338,317,271,329
1202,257,345,304,272,326
1302,260,344,320,279,332
1402,260,342,320,272,333
1502,259,341,309,272,336
1602,264,341,309,272,327
1702,256,336,304,272,323
1802,249,334,288,258,317
1902,256,336,289,263,307
2002,257,336,291,271,318
2102,273,349,309,277,328
2202,272,347,320,283,331
2302,272,358,317,288,335
2402,277,350,318,287,335
2502,273,357,320,290,335
2602,272,355,322,288,336
2702,272,351,320,285,334
2802,275,359,318,294,336
2902,278,354,320,286,335
3002,274,358,321,287,336
3102,278,354,320,287,336
3203,275,353,323,290,336
3303,273,354,318,287,335
3403,268,350,320,283,329
3503,274,349,316,285,331
3603,273,347,314,278,331
3704,272,346,311,275,328
3804,272,341,304,276,324
3904,269,338,310,279,327
4004,272,340,306,279,327
4104,272,341,309,281,327
4205,272,341,309,278,329
4305,272,336,310,284,325
4405,274,339,310,276,323
4505,271,337,313,282,326
4605,274,342,310,285,327
4706,267,338,310,284,326
4806,272,341,311,278,324
4906,272,336,310,277,327
5006,273,341,315,279,326
5106,272,346,307,282,327
5207,273,342,316,282,328
5307,278,352,313,283,327
5407,275,343,317,286,334
5507,279,353,318,287,331
5607,274,346,318,288,327
5707,273,347,309,287,332
5807,275,347,314,289,330
5907,272,342,311,278,328
6007,267,347,306,275,323
6107,273,344,305,285,331
6207,273,346,310,282,326
6307,272,338,313,287,325
6407,275,345,313,287,327
6507,279,348,309,294,327
6607,275,346,320,295,331
6707,277,336,305,288,327
6807,273,343,318,286,322
6907,278,346,308,289,329
7007,278,342,317,291,330
7107,285,346,320,286,331
7207,277,349,315,293,323
7307,268,341,315,287,332
7407,272,341,305,280,325
7507,270,347,308,284,327
7608,272,347,309,285,325
7708,273,347,307,284,333
7808,272,351,311,291,329
7908,272,349,314,289,332
8008,273,347,317,291,332
8109,274,356,319,293,336
8209,274,351,318,292,336
