tiempo,azul,verde,amarillo,naranja,rojo
0,256,335,288,262,338
100,254,341,287,263,340
200,256,333,291,262,337
301,256,335,286,256,337
401,257,331,282,260,339
501,254,330,287,256,337
601,257,325,285,260,336
701,257,333,283,257,336
802,250,330,280,250,335
902,255,336,281,252,335
1002,251,333,283,256,332
1102,256,332,285,250,336
1202,257,336,281,251,336
1302,254,329,281,256,336
1402,253,333,281,247,336
1502,255,329,279,256,335
1602,259,325,284,260,336
1702,259,331,288,259,336
1802,260,334,284,259,336
1902,258,337,283,251,336
2002,259,332,281,250,336
2102,254,331,286,253,337
2202,254,331,273,253,336
2302,250,328,279,256,336
2402,250,336,276,251,335
2502,246,330,282,251,334
2602,251,325,283,258,335
2703,256,326,279,251,336
2803,234,323,269,237,316
2903,235,333,256,223,308
3003,260,336,272,241,315
3103,261,338,279,255,332
3204,274,355,295,269,336
3304,284,353,302,269,337
3404,286,352,307,272,341
3504,291,357,310,271,338
3604,287,354,307,272,340
