field,value
command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,0
metadata.host_capture_finished_perf_counter_s,169550.077060027
metadata.host_capture_finished_wall_time_s,1779824057.093694925
metadata.host_command_sent_perf_counter_s,169433.107072490
metadata.host_command_sent_wall_time_s,1779823940.123708487
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17347
baseline_adc,2637.5714285714284
fall_time_ms,
peak_adc,2745.0
peak_time_ms,0.119
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17347
sample_interval_avg_ms,6.740915023636574
sample_interval_max_ms,15.987999999997555
sample_interval_min_ms,3.6679999999999993
threshold_adc,2691.285714285714
threshold_crossing_ms,
