field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,177008.904645677
metadata.host_capture_finished_wall_time_s,1779831515.921278477
metadata.host_command_sent_perf_counter_s,176889.448632235
metadata.host_command_sent_wall_time_s,1779831396.465266705
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17718
baseline_adc,2592.1428571428573
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.403
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17718
sample_interval_avg_ms,6.739756843709431
sample_interval_max_ms,16.22599999999875
sample_interval_min_ms,3.6430000000000007
threshold_adc,3343.5714285714284
threshold_crossing_ms,
