field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,176861.524041773
metadata.host_capture_finished_wall_time_s,1779831368.540677071
metadata.host_command_sent_perf_counter_s,176744.297052527
metadata.host_command_sent_wall_time_s,1779831251.313691139
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17383
baseline_adc,2594.8571428571427
fall_time_ms,
peak_adc,4095.0
peak_time_ms,47.657
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17383
sample_interval_avg_ms,6.741314520768611
sample_interval_max_ms,16.18800000000192
sample_interval_min_ms,3.657
threshold_adc,3344.9285714285716
threshold_crossing_ms,
