pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,48.276,75.583,27.306999999999995,52.057,52.057,4095,1024.923611111111,923.0948811806403,2509.04744059032,288,True
1,1892.12,1928.28,36.16000000000008,1896.032,1896.032,4095,899.44,923.0948811806403,2509.04744059032,325,True
2,4028.284,4055.956,27.672000000000025,4032.286,4032.286,4095,1000.0931034482759,923.0948811806403,2509.04744059032,290,True
3,5928.271,5955.79,27.519000000000233,5932.185,5932.185,4095,947.2833876221498,923.0948811806403,2509.04744059032,307,True
4,7968.283,7995.767,27.48399999999947,7972.164,7972.164,4095,1033.5992779783394,923.0948811806403,2509.04744059032,277,True
5,9808.283,9835.999,27.71600000000035,9812.303,9812.303,4095,933.5686900958466,923.0948811806403,2509.04744059032,313,True
6,11876.11,11912.145,36.034999999999854,11888.292,11888.292,4095,909.4409937888199,923.0948811806403,2509.04744059032,322,True
7,14018.279,14046.16,27.880999999999403,14022.366,14022.366,4095,1022.0,923.0948811806403,2509.04744059032,280,True
8,15878.279,15905.866,27.586999999999534,15882.21,15882.21,4095,898.9079754601227,923.0948811806403,2509.04744059032,326,True
9,18036.07,18072.119,36.04899999999907,18048.296,18048.296,4095,983.4290657439446,923.0948811806403,2509.04744059032,289,True
10,19955.948,19992.082,36.133999999998196,19968.289,19968.289,4095,1029.0551470588234,923.0948811806403,2509.04744059032,272,True
11,21766.115,21802.158,36.042999999997846,21778.288,21778.288,4095,1008.0361010830325,923.0948811806403,2509.04744059032,277,True
12,23606.399,23638.281,31.881999999997788,23613.311,23613.311,4095,1026.1350364963503,923.0948811806403,2509.04744059032,274,True
13,25428.28,25455.973,27.69300000000294,25432.264,25432.264,4095,950.7091503267974,923.0948811806403,2509.04744059032,306,True
14,27456.041,27492.104,36.06299999999828,27468.298,27468.298,4095,1013.185053380783,923.0948811806403,2509.04744059032,281,True
15,29328.283,29356.211,27.927999999999884,29332.411,29332.411,4095,952.4046052631579,923.0948811806403,2509.04744059032,304,True
16,31342.253,31378.276,36.02300000000105,31346.334,31346.334,4095,1041.4059040590405,923.0948811806403,2509.04744059032,271,True
17,33148.279,33185.858,37.578999999997905,33148.279,33152.486,4095,1067.9778597785978,923.0948811806403,2509.04744059032,271,True
18,34952.207,34988.277,36.06999999999971,34956.237,34956.237,4095,1036.3479853479853,923.0948811806403,2509.04744059032,273,True
19,36768.279,36796.261,27.981999999996333,36772.39,36772.39,4095,1029.6761565836298,923.0948811806403,2509.04744059032,281,True
20,38628.283,38662.173,33.88999999999942,38638.289,38638.289,4095,921.8454258675079,923.0948811806403,2509.04744059032,317,True
21,40738.281,40768.279,29.997999999999593,40742.323,40742.323,4095,980.8783783783783,923.0948811806403,2509.04744059032,296,True
22,42708.279,42738.275,29.995999999999185,42712.533,42712.533,4095,946.75,923.0948811806403,2509.04744059032,304,True
23,44728.279,44756.399,28.119999999995343,44732.487,44732.487,4095,1025.661921708185,923.0948811806403,2509.04744059032,281,True
24,46598.284,46626.155,27.870999999999185,46602.383,46602.383,4095,964.1875,923.0948811806403,2509.04744059032,304,True
25,48618.284,48648.276,29.99199999999837,48622.353,48622.353,4095,969.8316831683169,923.0948811806403,2509.04744059032,303,True
26,50632.489,50668.284,35.794999999998254,50636.778,50636.778,4095,906.2376543209876,923.0948811806403,2509.04744059032,324,True
27,52788.28,52818.28,30.0,52792.353,52792.353,4095,963.4039735099337,923.0948811806403,2509.04744059032,302,True
28,54798.267,54829.104,30.836999999999534,54802.575,54802.575,4095,919.2118380062306,923.0948811806403,2509.04744059032,321,True
29,56928.283,56962.235,33.9519999999975,56938.289,56938.289,4095,1010.3321554770318,923.0948811806403,2509.04744059032,283,True
30,58808.279,58836.41,28.131000000001222,58808.279,58812.484,4095,965.4473684210526,923.0948811806403,2509.04744059032,304,True
31,60838.279,60866.379,28.099999999998545,60842.468,60842.468,4095,969.41,923.0948811806403,2509.04744059032,300,True
32,62828.28,62856.318,28.038000000000466,62832.436,62832.436,4095,994.4212328767123,923.0948811806403,2509.04744059032,292,True
33,64761.053,64795.25,34.197000000000116,64768.294,64768.294,4095,906.9179331306991,923.0948811806403,2509.04744059032,329,True
34,66958.288,66988.281,29.993000000002212,66958.288,66962.466,4095,989.4041095890411,923.0948811806403,2509.04744059032,292,True
35,68918.284,68948.28,29.995999999999185,68922.638,68922.638,4095,991.9759450171821,923.0948811806403,2509.04744059032,291,True
36,70872.455,70908.281,35.82600000000093,70878.296,70878.296,4095,1041.3014705882354,923.0948811806403,2509.04744059032,272,True
