field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,170371.779496647
metadata.host_capture_finished_wall_time_s,1779824878.796130419
metadata.host_command_sent_perf_counter_s,170252.103091632
metadata.host_command_sent_wall_time_s,1779824759.119727612
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17734
baseline_adc,2652.714285714286
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.278
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17734
sample_interval_avg_ms,6.746074888625727
sample_interval_max_ms,16.03399999999965
sample_interval_min_ms,3.643000000000029
threshold_adc,3373.857142857143
threshold_crossing_ms,
