field,value
command,sensor pulse_profile 200 128 80 120 1000
metadata.duration_ms,200
metadata.duty,128
metadata.post_ms,120
metadata.pre_ms,80
metadata.sample_us,1000
metadata.samples,62
baseline_adc,2918.0
fall_time_ms,179.996
peak_adc,4095.0
peak_time_ms,103.862
pulse_count,1
pulse_width_ms,197.902
rise_time_ms,0.0
sample_count,62
sample_interval_avg_ms,6.5580491803278695
sample_interval_max_ms,12.744000000000028
sample_interval_min_ms,3.627999999999986
threshold_adc,3506.5
threshold_crossing_ms,83.979
