field,value
command,sensor train_profile 6 120 30 1023 80 150 1000
metadata.count,6
metadata.duration_ms,30
metadata.duty,1023
metadata.period_ms,120
metadata.post_ms,150
metadata.pre_ms,80
metadata.sample_us,1000
metadata.samples,136
baseline_adc,2993.0714285714284
fall_time_ms,3.7489999999999952
peak_adc,4095.0
peak_time_ms,95.72
pulse_count,6
pulse_width_ms,23.891000000000005
rise_time_ms,0.0
sample_count,136
sample_interval_avg_ms,6.411703703703705
sample_interval_max_ms,16.150999999999954
sample_interval_min_ms,3.6449999999999996
threshold_adc,3544.035714285714
threshold_crossing_ms,95.72
