field,value
command,sensor pulse_profile 500 1023 100 100 2000
metadata.duration_ms,500
metadata.duty,1023
metadata.post_ms,100
metadata.pre_ms,100
metadata.sample_us,2000
metadata.samples,110
baseline_adc,96.82352941176471
fall_time_ms,0.0
peak_adc,665.0
peak_time_ms,106.39
pulse_count,1
pulse_width_ms,503.95400000000006
rise_time_ms,0.0
sample_count,110
sample_interval_avg_ms,6.479385321100917
sample_interval_max_ms,12.75200000000001
sample_interval_min_ms,3.622000000000014
threshold_adc,380.9117647058823
threshold_crossing_ms,106.39
