field,value
command,sensor pulse_profile 500 1023 100 100 2000
metadata.duration_ms,500
metadata.duty,1023
metadata.post_ms,100
metadata.pre_ms,100
metadata.sample_us,2000
metadata.samples,111
baseline_adc,0.0
fall_time_ms,12.625999999999976
peak_adc,694.0
peak_time_ms,156.237
pulse_count,1
pulse_width_ms,499.98400000000004
rise_time_ms,0.0
sample_count,111
sample_interval_avg_ms,6.396345454545455
sample_interval_max_ms,12.730999999999995
sample_interval_min_ms,3.6299999999999955
threshold_adc,347.0
threshold_crossing_ms,116.246
