field,value
command,sensor pulse_profile 400 1023 80 150 1000
metadata.duration_ms,400
metadata.duty,1023
metadata.post_ms,150
metadata.pre_ms,80
metadata.sample_us,1000
metadata.samples,98
baseline_adc,2987.6428571428573
fall_time_ms,0.0
peak_adc,4095.0
peak_time_ms,83.467
pulse_count,1
pulse_width_ms,400.594
rise_time_ms,0.0
sample_count,98
sample_interval_avg_ms,6.529
sample_interval_max_ms,12.762000000000057
sample_interval_min_ms,3.620999999999981
threshold_adc,3541.3214285714284
threshold_crossing_ms,83.467
