field,value
command,sensor sample 200 1ms
metadata.count,200
metadata.delay_us,1000
baseline_adc,4095.0
fall_time_ms,
peak_adc,4095.0
peak_time_ms,0.021
pulse_count,0
pulse_width_ms,
rise_time_ms,
sample_count,200
sample_interval_avg_ms,6.767688442211055
sample_interval_max_ms,16.389999999999986
sample_interval_min_ms,4.477999999999952
threshold_adc,
threshold_crossing_ms,
