field,value
command,sensor pulse_profile 200 512 80 120 1000
metadata.duration_ms,200
metadata.duty,512
metadata.post_ms,120
metadata.pre_ms,80
metadata.sample_us,1000
metadata.samples,62
baseline_adc,2860.153846153846
fall_time_ms,92.511
peak_adc,4095.0
peak_time_ms,83.928
pulse_count,1
pulse_width_ms,199.92200000000003
rise_time_ms,0.0
sample_count,62
sample_interval_avg_ms,6.55711475409836
sample_interval_max_ms,12.756000000000029
sample_interval_min_ms,3.6200000000000045
threshold_adc,3477.576923076923
threshold_crossing_ms,83.928
