field,value
command,sensor pulse_profile 200 1023 80 120 1000
metadata.duration_ms,200
metadata.duty,1023
metadata.post_ms,120
metadata.pre_ms,80
metadata.sample_us,1000
metadata.samples,63
baseline_adc,2912.6923076923076
fall_time_ms,3.6820000000000164
peak_adc,4095.0
peak_time_ms,83.911
pulse_count,1
pulse_width_ms,206.31099999999998
rise_time_ms,0.0
sample_count,63
sample_interval_avg_ms,6.552725806451613
sample_interval_max_ms,12.739000000000004
sample_interval_min_ms,3.6189999999999998
threshold_adc,3503.846153846154
threshold_crossing_ms,83.911
