pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,42.024,78.361,36.337,54.709,82.013,3691,2899.7758007117436,2890.3406928054815,3290.6703464027405,281,True
1,1874.717,1902.167,27.449999999999818,1874.717,1902.167,3611,2898.2233676975943,2890.3406928054815,3250.6703464027405,291,True
2,3802.377,3838.517,36.13999999999987,3814.722,3822.298,3519,2896.3228070175437,2890.3406928054815,3204.6703464027405,285,True
3,5698.614,5734.709,36.095000000000255,5702.595,5722.386,3482,2899.6632302405496,2890.3406928054815,3186.1703464027405,291,True
4,7634.713,7662.508,27.795000000000073,7638.759,7662.508,3433,2897.8881355932203,2890.3406928054815,3161.6703464027405,295,True
5,9598.47,9634.709,36.2390000000014,9602.331,9622.144,3867,2903.328813559322,2890.3406928054815,3378.6703464027405,295,True
6,11562.397,11598.512,36.11499999999978,11574.722,11582.305,3790,2901.7993421052633,2890.3406928054815,3340.1703464027405,304,True
7,13594.713,13622.55,27.836999999999534,13598.782,13622.55,3847,2906.4788273615636,2890.3406928054815,3368.6703464027405,307,True
8,15638.546,15674.71,36.16399999999885,15642.471,15654.713,3504,2903.3986928104573,2890.3406928054815,3197.1703464027405,306,True
9,17678.677,17714.709,36.03199999999924,17682.732,17702.527,3456,3009.52,2890.3406928054815,3173.1703464027405,25,True
