field,value
mode,random-train
webcam.frames,785
webcam.detected_frames,161
webcam.detection_events,116
webcam.measured_fps,30.07055974533812
op598.pulse_events,10
coincidence.detected_windows,5
coincidence.matched_detected,5
coincidence.mean_offset_ms,-6.69080279985792
coincidence.abs_mean_offset_ms,16.254128999935347
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2902.714285714286
op598.command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
op598.fall_time_ms,
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,9372.167809205
op598.metadata.host_capture_finished_wall_time_s,1779483215.913486958
op598.metadata.host_command_sent_perf_counter_s,9354.285852842
op598.metadata.host_command_sent_wall_time_s,1779483198.031531811
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2687
op598.peak_adc,3867.0
op598.peak_time_ms,9622.144
op598.pulse_count,10
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,2687
op598.sample_interval_avg_ms,6.641225614296351
op598.sample_interval_max_ms,12.71
op598.sample_interval_min_ms,3.636000000000003
op598.threshold_adc,3384.857142857143
op598.threshold_crossing_ms,
