group_type,group_id,run_id,variant,phase_offset,phase_label,frame_count,matched_pulses,effective_sample_size,covered_pulses,coverage_fraction,coincidence_success_rate_windowed,coincidence_success_ci_low,coincidence_success_ci_high,mean_offset_ms_detected,offset_std_ms_detected,frame_mean_gray,frame_p95_gray,delta_mean_gray_vs_before,delta_abs_mean_gray_vs_before,positive_delta_fraction_vs_before,preview_path
pooled,pooled,,selected_runs_pool,0,hit,60,60,1.0,60,1.0,1.0,0.939826,1.0,45.086826,9.616725,1.214568,1.333333,0.0,0.0,0.0,data/derived/reconstruction-camera0/new-camera-mount-20260526-camera0-extra10/phase_averages/pooled/phase_+0_hit.png
run,random-train_20260526_165547,random-train_20260526_165547,dual_experiments,0,hit,60,60,60.0,60,1.0,1.0,0.939826,1.0,45.086826,9.616725,1.214568,1.333333,0.0,0.0,0.0,data/derived/reconstruction-camera0/new-camera-mount-20260526-camera0-extra10/phase_averages/random-train_20260526_165547/phase_+0_hit.png
