study_family,source_run,duty,intensity_percent,expected_pulses,detection_events,bounded_detected_pulses,detected_frames,detection_probability,detected_any,event_overcount_flag,measured_fps,metrics_csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,1,0.09775171065493646,60,0,0,0,0.0,false,false,29.8,data/webcam/webcam_flash_metrics_20260526_191101.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,2,0.19550342130987292,60,0,0,0,0.0,false,false,29.84,data/webcam/webcam_flash_metrics_20260526_191148.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,3,0.2932551319648094,60,0,0,0,0.0,false,false,29.87,data/webcam/webcam_flash_metrics_20260526_191236.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,4,0.39100684261974583,60,4,4,9,0.066667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_191323.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,5,0.4887585532746823,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_191410.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,6,0.5865102639296188,60,7,7,41,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_191458.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,7,0.6842619745845552,60,8,8,44,0.133333,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_191546.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,8,0.7820136852394917,60,10,10,60,0.166667,true,false,30.32,data/webcam/webcam_flash_metrics_20260526_191633.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,10,0.9775171065493646,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_191720.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,12,1.1730205278592376,60,7,7,42,0.116667,true,false,29.87,data/webcam/webcam_flash_metrics_20260526_191808.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,16,1.5640273704789833,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_191855.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,24,2.346041055718475,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_191943.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,32,3.1280547409579667,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_192030.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,48,4.69208211143695,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_192118.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,64,6.256109481915933,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_192205.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_191013,128,12.512218963831867,60,7,7,43,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_192253.csv
