pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,42.047,78.368,36.321,54.705,54.705,3904,2844.138790035587,2885.0907320872275,3394.5453660436137,281,True
1,1868.466,1904.708,36.24200000000019,1872.313,1904.708,3796,2893.5971223021584,2885.0907320872275,3340.5453660436137,278,True
2,3714.716,3742.129,27.41300000000001,3718.587,3718.587,3883,2897.0704697986575,2885.0907320872275,3384.0453660436137,298,True
3,5694.72,5722.33,27.609999999999673,5698.669,5714.708,3744,2904.581560283688,2885.0907320872275,3314.5453660436137,282,True
4,7568.606,7604.708,36.10199999999986,7568.606,7584.712,3826,2904.7094594594596,2885.0907320872275,3355.5453660436137,296,True
5,9544.716,9573.925,29.208999999998923,9548.788,9573.925,3807,2910.3659420289855,2885.0907320872275,3346.0453660436137,276,True
6,11384.716,11413.946,29.229999999999563,11388.803,11388.803,3949,2907.4222222222224,2885.0907320872275,3417.0453660436137,315,True
7,13484.712,13512.354,27.641999999999825,13488.672,13512.354,3689,2905.5173611111113,2885.0907320872275,3287.0453660436137,288,True
8,15404.712,15432.488,27.77599999999984,15408.74,15432.488,3653,2906.801418439716,2885.0907320872275,3269.0453660436137,282,True
9,17284.712,17312.546,27.833999999998923,17288.77,17312.546,3583,3033.64,2885.0907320872275,3234.0453660436137,25,True
