field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,178164.291148099
metadata.host_capture_finished_wall_time_s,1779832671.307782888
metadata.host_command_sent_perf_counter_s,178047.497392603
metadata.host_command_sent_wall_time_s,1779832554.514035463
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17453
baseline_adc,654.4285714285714
fall_time_ms,
peak_adc,4095.0
peak_time_ms,47.598
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17453
sample_interval_avg_ms,6.6896329933531975
sample_interval_max_ms,15.936000000001513
sample_interval_min_ms,3.647000000000002
threshold_adc,2374.714285714286
threshold_crossing_ms,
