field,value
command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
metadata.count,10
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,9202.653840645
metadata.host_capture_finished_wall_time_s,1779483046.399519205
metadata.host_command_sent_perf_counter_s,9185.166244973
metadata.host_command_sent_wall_time_s,1779483028.911923647
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,2628
baseline_adc,2838.1428571428573
fall_time_ms,39.64300000000003
peak_adc,3949.0
peak_time_ms,11388.803
pulse_count,10
pulse_width_ms,11338.018
rise_time_ms,0.0
sample_count,2628
sample_interval_avg_ms,6.6404971450323576
sample_interval_max_ms,14.384000000000015
sample_interval_min_ms,3.645000000000003
threshold_adc,3393.5714285714284
threshold_crossing_ms,54.705
