field,value
mode,random-train
webcam.frames,785
webcam.detected_frames,0
webcam.detection_events,0
webcam.measured_fps,30.070381905501545
op598.pulse_events,10
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,2.513872799136152
coincidence.abs_mean_offset_ms,8.892935599760676
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2914.4285714285716
op598.command,sensor random_train_profile 10 1800 2100 20 32 40 120 1000
op598.fall_time_ms,
op598.metadata.count,10
op598.metadata.duration_ms,20
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,9451.929662318
op598.metadata.host_capture_finished_wall_time_s,1779483295.675339699
op598.metadata.host_command_sent_perf_counter_s,9434.109414361
op598.metadata.host_command_sent_wall_time_s,1779483277.855094194
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2676
op598.peak_adc,3809.0
op598.peak_time_ms,3942.668
op598.pulse_count,10
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,2676
op598.sample_interval_avg_ms,6.644730841121495
op598.sample_interval_max_ms,14.415999999999997
op598.sample_interval_min_ms,3.6609999999999943
op598.threshold_adc,3361.714285714286
op598.threshold_crossing_ms,
