field,value
mode,train
webcam.frames,335
webcam.detected_frames,6
webcam.detection_events,5
op598.baseline_adc,0.0
op598.command,sensor train_profile 5 1000 40 1023 40 120 1000
op598.fall_time_ms,
op598.metadata.count,5
op598.metadata.duration_ms,40
op598.metadata.duty,1023
op598.metadata.period_ms,1000
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,686
op598.peak_adc,0.0
op598.peak_time_ms,0.119
op598.pulse_count,5
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,686
op598.sample_interval_avg_ms,6.139354744525548
op598.sample_interval_max_ms,12.642000000000053
op598.sample_interval_min_ms,3.6409999999999982
op598.threshold_adc,
op598.threshold_crossing_ms,
