field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,177441.513789503
metadata.host_capture_finished_wall_time_s,1779831948.530428410
metadata.host_command_sent_perf_counter_s,177323.001150302
metadata.host_command_sent_wall_time_s,1779831830.017785549
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17689
baseline_adc,2604.5714285714284
fall_time_ms,
peak_adc,4095.0
peak_time_ms,48.277
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17689
sample_interval_avg_ms,6.697091361374944
sample_interval_max_ms,16.49899999999616
sample_interval_min_ms,3.6340000000000003
threshold_adc,3349.785714285714
threshold_crossing_ms,
