timestamp_s,perf_counter_s,frame_index,mean,max,p99,threshold,detected
0.0005582869926001877,158185.441955905,0,17.349814453125,23.0,18.0,33.0,0
0.01495581099879928,158185.456353429,1,17.35500651041667,24.0,18.0,33.0,0
0.027215501002501696,158185.468613119,2,17.345826822916667,21.0,18.0,33.0,0
0.04348055200534873,158185.48487817,3,17.349537760416666,22.0,18.0,33.0,0
0.07536011899355799,158185.516757737,4,17.353678385416668,23.0,18.0,33.0,0
0.10728174998075701,158185.548679368,5,17.343349609375,29.0,18.0,33.0,0
0.1432546149881091,158185.584652233,6,17.345911458333333,23.0,18.0,33.0,0
0.17530911500216462,158185.616706733,7,17.343639322916665,25.0,18.0,33.0,0
0.207295031985268,158185.64869265,8,17.351253255208334,28.0,18.0,33.0,0
0.2437958029913716,158185.685193421,9,17.353802083333335,23.0,18.0,33.0,0
0.2753272760019172,158185.716724894,10,17.353828125,23.0,18.0,33.0,0
0.3073182530060876,158185.748715871,11,17.345279947916666,23.0,18.0,33.0,0
0.3433903989789542,158185.784788017,12,17.34231119791667,26.0,18.0,33.0,0
0.3753441819862928,158185.8167418,13,17.346354166666668,26.0,18.0,33.0,0
0.4114307079871651,158185.852828326,14,17.353307291666667,24.0,18.0,33.0,0
0.44334834700566716,158185.884745965,15,17.350475260416665,23.0,18.0,33.0,0
0.47536161899915896,158185.916759237,16,17.343984375,27.0,18.0,33.0,0
0.5116421199927572,158185.953039738,17,17.350712890625,24.0,18.0,33.0,0
0.543333915004041,158185.984731533,18,17.343157552083333,24.0,18.0,33.0,0
0.5762122599990107,158186.017609878,19,17.350638020833333,24.0,18.0,33.0,0
0.6113427270029206,158186.052740345,20,17.34377604166667,25.0,18.0,33.0,0
0.6433329239953309,158186.084730542,21,17.342281901041666,24.0,18.0,33.0,0
0.6793712819926441,158186.1207689,22,17.350719401041665,23.0,18.0,33.0,0
0.7113398840010632,158186.152737502,23,17.350501302083334,22.0,18.0,33.0,0
0.7433208389848005,158186.184718457,24,17.34552083333333,23.0,18.0,33.0,0
0.7798351490055211,158186.221232767,25,17.349007161458335,22.0,18.0,33.0,0
0.81258461199468,158186.25398223,26,17.342724609375,22.0,18.0,33.0,0
0.8433157249819487,158186.284713343,27,17.346666666666668,23.0,18.0,33.0,0
0.8793635909969453,158186.320761209,28,17.348994140625,28.0,18.0,33.0,0
0.9125850409909617,158186.353982659,29,17.349212239583334,23.0,18.0,33.0,0
0.9439391499909107,158186.385336768,30,17.349453125,23.0,18.0,33.0,0
0.9793728519871365,158186.42077047,31,17.346318359375,24.0,18.0,33.0,0
1.0119579180027358,158186.453355536,32,17.347242838541668,26.0,18.0,33.0,0
1.0477954800007865,158186.489193098,33,17.34592122395833,25.0,18.0,33.0,0
1.0793763709953055,158186.520773989,34,17.340501302083332,24.0,18.0,33.0,0
1.111380096001085,158186.552777714,35,17.341363932291667,23.0,18.0,33.0,0
1.147492900985526,158186.588890519,36,17.351546223958334,24.0,18.0,33.0,0
1.1793890800036024,158186.620786698,37,17.348014322916665,24.0,18.0,33.0,0
1.21131630599848,158186.652713924,38,17.348505859375,23.0,18.0,33.0,0
1.247327700984897,158186.688725319,39,17.34783203125,23.0,18.0,33.0,0
1.2792826140066609,158186.720680232,40,17.347301432291665,23.0,18.0,33.0,0
1.3159024369961116,158186.757300055,41,17.352298177083334,25.0,18.0,33.0,0
1.3475119479990099,158186.788909566,42,17.346044921875,26.0,18.0,33.0,0
1.3793415800028015,158186.820739198,43,17.353766276041668,22.0,18.0,33.0,0
1.4153654929832555,158186.856763111,44,17.344192708333335,24.0,18.0,33.0,0
1.4473773459903896,158186.888774964,45,17.354827473958334,23.0,18.0,33.0,0
1.479347421991406,158186.92074504,46,17.341751302083335,24.0,18.0,33.0,0
1.5156952789984643,158186.957092897,47,17.34,25.0,18.0,33.0,0
1.547378924995428,158186.988776543,48,17.348352864583333,27.0,18.0,33.0,0
1.5799635379808024,158187.021361156,49,17.340123697916667,26.0,18.0,33.0,0
1.6157508280011825,158187.057148446,50,17.348977864583333,23.0,18.0,33.0,0
1.6473611399997026,158187.088758758,51,17.344674479166667,24.0,18.0,33.0,0
1.6838475469849072,158187.125245165,52,17.337190755208333,23.0,18.0,33.0,0
1.7160051039827522,158187.157402722,53,17.348063151041668,23.0,18.0,33.0,0
1.747854600980645,158187.189252219,54,17.345686848958334,28.0,18.0,33.0,0
1.7834099149913527,158187.224807533,55,17.347581380208332,26.0,18.0,33.0,0
1.8153691460029222,158187.256766764,56,17.339638671875,23.0,18.0,33.0,0
1.847623224981362,158187.289020843,57,17.346272786458332,27.0,18.0,33.0,0
1.8833793899975717,158187.324777008,58,17.346422526041668,26.0,18.0,33.0,0
1.9153080709802452,158187.356705689,59,17.346826171875,24.0,18.0,33.0,0
1.9516314799839165,158187.393029098,60,17.341393229166666,24.0,18.0,33.0,0
1.9834634359867778,158187.424861054,61,17.34453125,26.0,18.0,33.0,0
2.0153409729828127,158187.456738591,62,17.3459375,24.0,18.0,33.0,0
2.0513078160001896,158187.492705434,63,17.349729817708333,25.0,18.0,33.0,0
2.083336381998379,158187.524734,64,17.344016927083334,25.0,18.0,33.0,0
2.1157087549800053,158187.557106373,65,17.351650390625,23.0,18.0,33.0,0
2.151392304978799,158187.592789923,66,17.345732421875,24.0,18.0,33.0,0
2.1833896359894425,158187.624787254,67,17.351878255208334,23.0,18.0,33.0,0
2.215435075981077,158187.656832694,68,17.347125651041665,25.0,18.0,33.0,0
2.2513261529966258,158187.692723771,69,17.347845052083333,21.0,18.0,33.0,0
2.2832862679788377,158187.724683886,70,17.354495442708334,27.0,18.0,33.0,0
2.3193121519871056,158187.76070977,71,17.344632161458332,26.0,18.0,33.0,0
2.351300085982075,158187.792697704,72,17.34982421875,25.0,18.0,33.0,0
2.3835019459947944,158187.824899564,73,17.34405598958333,25.0,18.0,33.0,0
2.419310047989711,158187.860707666,74,17.34142578125,23.0,18.0,33.0,0
2.451299463980831,158187.892697082,75,17.352486979166667,24.0,18.0,33.0,0
2.4833582889987156,158187.924755907,76,17.344339192708333,25.0,18.0,33.0,0
2.519383543985896,158187.960781162,77,17.344381510416667,24.0,18.0,33.0,0
2.551345728978049,158187.992743347,78,17.346097005208332,26.0,18.0,33.0,0
2.587924513994949,158188.029322132,79,17.343304036458335,27.0,18.0,33.0,0
2.6193438769842032,158188.060741495,80,17.349368489583334,21.0,18.0,33.0,0
2.6517223169794306,158188.093119935,81,17.343180338541668,24.0,18.0,33.0,0
2.687355314992601,158188.128752933,82,17.349309895833333,28.0,18.0,33.0,0
2.719289394997759,158188.160687013,83,17.346432291666666,26.0,18.0,33.0,0
2.7512475769908633,158188.192645195,84,17.346077473958335,27.0,18.0,33.0,0
2.7873250039992854,158188.228722622,85,17.344892578125,22.0,18.0,33.0,0
2.819316515000537,158188.260714133,86,17.345657552083335,24.0,18.0,33.0,0
2.8513085609884,158188.292706179,87,17.342692057291668,22.0,18.0,33.0,0
2.8872799499949906,158188.328677568,88,17.347005208333332,21.0,18.0,33.0,0
2.919555884989677,158188.360953503,89,17.347135416666667,24.0,18.0,33.0,0
2.955300912988605,158188.396698531,90,17.355,25.0,18.0,33.0,0
2.9872982100059744,158188.428695828,91,17.3401953125,22.0,18.0,33.0,0
3.019217111985199,158188.46061473,92,17.348655598958334,27.0,18.0,33.0,0
3.0554022289870773,158188.496799847,93,17.34642578125,26.0,18.0,33.0,0
3.087417920003645,158188.528815538,94,17.34905924479167,26.0,18.0,33.0,0
3.1193793959973846,158188.560777014,95,17.344970703125,23.0,18.0,33.0,0
3.155283161002444,158188.596680779,96,17.348173828125,26.0,18.0,33.0,0
3.187524612993002,158188.628922231,97,17.352317708333334,24.0,18.0,33.0,0
3.2233881279826164,158188.664785746,98,17.337093098958334,23.0,18.0,33.0,0
3.2552759810059797,158188.696673599,99,17.34990234375,24.0,18.0,33.0,0
3.2872936420026235,158188.72869126,100,17.350032552083334,25.0,18.0,33.0,0
3.323348198988242,158188.764745817,101,17.349049479166666,25.0,18.0,33.0,0
3.3552801449841354,158188.796677763,102,17.346988932291666,22.0,18.0,33.0,0
3.387298451998504,158188.82869607,103,17.345237630208334,25.0,18.0,33.0,0
3.4233208899968304,158188.864718508,104,17.346315104166667,23.0,18.0,33.0,0
3.45548976099235,158188.896887379,105,17.3519921875,25.0,18.0,33.0,0
3.4913305130030494,158188.932728131,106,17.34923828125,25.0,18.0,33.0,0
3.523351359006483,158188.964748977,107,17.349944661458334,23.0,18.0,33.0,0
3.5552468249807134,158188.996644443,108,17.346647135416667,26.0,18.0,33.0,0
3.591325383982621,158189.032723002,109,17.346031901041666,25.0,18.0,33.0,0
3.623368169006426,158189.064765787,110,17.344905598958334,28.0,18.0,33.0,0
3.6552778169861995,158189.096675435,111,17.347014973958334,23.0,18.0,33.0,0
3.691331399983028,158189.132729018,112,17.344755859375,24.0,18.0,33.0,0
3.723614300979534,158189.165011919,113,17.343108723958334,26.0,18.0,33.0,0
3.7553400799806695,158189.196737698,114,17.351575520833332,23.0,18.0,33.0,0
3.791313355002785,158189.232710973,115,17.340787760416667,29.0,18.0,33.0,0
3.823263237980427,158189.264660856,116,17.341188151041667,24.0,18.0,33.0,0
3.8593324319808744,158189.30073005,117,17.354117838541665,26.0,18.0,33.0,0
3.891289182996843,158189.332686801,118,17.348141276041666,26.0,18.0,33.0,0
3.9232527900021523,158189.364650408,119,17.347216796875,24.0,18.0,33.0,0
3.959295854001539,158189.400693472,120,17.35015625,27.0,18.0,33.0,0
3.991571837977972,158189.432969456,121,17.342431640625,27.0,18.0,33.0,0
4.0232764660031535,158189.464674084,122,17.342548828125,22.0,18.0,33.0,0
4.059361052990425,158189.500758671,123,17.337978515625,27.0,18.0,33.0,0
4.0913614419987425,158189.53275906,124,17.344371744791665,25.0,18.0,33.0,0
4.127324083005078,158189.568721701,125,17.343414713541666,26.0,18.0,33.0,0
4.15931465299218,158189.600712271,126,17.341292317708334,21.0,18.0,33.0,0
4.191285565000726,158189.632683183,127,17.347604166666667,25.0,18.0,33.0,0
4.227316051983507,158189.66871367,128,17.337688802083335,23.0,18.0,33.0,0
4.259496662998572,158189.700894281,129,17.340582682291668,23.0,18.0,33.0,0
4.291283074999228,158189.732680693,130,17.345865885416668,21.0,18.0,33.0,0
4.3273395510041155,158189.768737169,131,17.347161458333332,22.0,18.0,33.0,0
4.3593579349981155,158189.800755553,132,17.351311848958332,24.0,18.0,33.0,0
4.391277733986499,158189.832675352,133,17.3448828125,28.0,18.0,33.0,0
4.427301300980616,158189.868698919,134,17.348473307291666,24.0,18.0,33.0,0
4.459289797989186,158189.900687416,135,17.358125,23.0,18.0,33.0,0
4.495317121996777,158189.93671474,136,17.3406640625,24.0,18.0,33.0,0
4.527496306982357,158189.968893925,137,17.347880859375,22.0,18.0,33.0,0
4.559282853995683,158190.000680472,138,17.34279296875,23.0,18.0,33.0,0
4.595345050998731,158190.036742669,139,17.355078125,23.0,18.0,33.0,0
4.627299871004652,158190.068697489,140,17.343369140625,25.0,18.0,33.0,0
4.6593534629791975,158190.100751081,141,17.344951171875,28.0,18.0,33.0,0
4.695388899999671,158190.136786518,142,17.352701822916668,26.0,18.0,33.0,0
4.727307471999666,158190.16870509,143,17.34771484375,26.0,18.0,33.0,0
4.763339400000405,158190.204737018,144,17.348994140625,24.0,18.0,33.0,0
4.795676479989197,158190.237074098,145,17.348958333333332,24.0,18.0,33.0,0
4.827312965004239,158190.268710583,146,17.348313802083332,29.0,18.0,33.0,0
4.863346926984377,158190.304744545,147,17.3482421875,24.0,18.0,33.0,0
4.895287066989113,158190.336684685,148,17.353509114583332,24.0,18.0,33.0,0
4.927305956982309,158190.368703575,149,17.336204427083334,22.0,18.0,33.0,0
4.96334731898969,158190.404744937,150,17.350110677083332,26.0,18.0,33.0,0
4.995341323985485,158190.436738942,151,17.345791015625,26.0,18.0,33.0,0
5.027333239995642,158190.468730858,152,17.344967447916666,26.0,18.0,33.0,0
5.063530351006193,158190.504927969,153,17.338326822916667,23.0,18.0,33.0,0
5.095308922987897,158190.536706541,154,17.341565755208332,26.0,18.0,33.0,0
5.131328974006465,158190.572726592,155,17.346402994791667,23.0,18.0,33.0,0
5.1633222620002925,158190.60471988,156,17.341402994791668,25.0,18.0,33.0,0
5.195278339000652,158190.636675957,157,17.356448567708334,25.0,18.0,33.0,0
