field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,177298.082407592
metadata.host_capture_finished_wall_time_s,1779831805.099045277
metadata.host_command_sent_perf_counter_s,177179.221426932
metadata.host_command_sent_wall_time_s,1779831686.238062859
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17625
baseline_adc,2605.0
fall_time_ms,
peak_adc,4095.0
peak_time_ms,47.996
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17625
sample_interval_avg_ms,6.741254879709486
sample_interval_max_ms,15.986999999993714
sample_interval_min_ms,3.6439999999999984
threshold_adc,3350.0
threshold_crossing_ms,
