field,value
command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,0
metadata.host_capture_finished_perf_counter_s,170056.487790755
metadata.host_capture_finished_wall_time_s,1779824563.504423857
metadata.host_command_sent_perf_counter_s,169937.143852790
metadata.host_command_sent_wall_time_s,1779824444.160490274
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17691
baseline_adc,2658.285714285714
fall_time_ms,
peak_adc,2783.0
peak_time_ms,0.115
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17691
sample_interval_avg_ms,6.743197682306389
sample_interval_max_ms,16.127000000000407
sample_interval_min_ms,3.6479999999999997
threshold_adc,2720.642857142857
threshold_crossing_ms,
