field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,177152.999373380
metadata.host_capture_finished_wall_time_s,1779831660.016007185
metadata.host_command_sent_perf_counter_s,177033.845662000
metadata.host_command_sent_wall_time_s,1779831540.862296581
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17663
baseline_adc,2591.4285714285716
fall_time_ms,
peak_adc,4095.0
peak_time_ms,46.615
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17663
sample_interval_avg_ms,6.743279186955045
sample_interval_max_ms,16.18000000000029
sample_interval_min_ms,3.657
threshold_adc,3343.214285714286
threshold_crossing_ms,
